condition,food,warning,explanation
Hypertension,sugar/desserts,dangerous,sugar/desserts is high in fat/sugar and may worsen hypertension.
nausea,ginger,safe,Vitamin B6 and ginger are both effective for nausea and vomiting in early pregnancy.
vascular damage,plant-based foods and beverages,safe,"Flavonoids, compounds found in plant-based foods and beverages, might ameliorate vascular damage and atherosclerosis."
bronchitis,flour,dangerous,"Symptoms suggestive of chronic bronchitis or chronic productive cough were found in 29.0% of 100 workers exposed to flour dust in a flour mill, 26.0% presenting with chronic cough and 29.0% with phlegm."
cardiovascular disease,chocolate,safe,Three recent meta-analyses found significant prospective inverse associations between chocolate intake and cardiovascular disease risk.
inflammation,mediet,safe,"Several clinical, epidemiological and experimental evidences suggest that consumption of the MeDiet reduces the incidence of certain pathologies related to oxidative stress, chronic inflammation and immune system diseases such as cancer, atherosclerosis and cardiovascular disease (CVD)."
airway obstruction,milk,safe,"The hypothesis that vitamin A, or foods rich in vitamin A such as milk, protects against the development of airway obstruction was tested in a subsample of data from the 1971-1975 National Health and Nutrition Examination Survey."
vomiting,oryza sativa,safe,"Oryza sativa L. is consumed globally as a staple food, and its roots have been used as a Korean and Chinese medical supplement for protection of the stomach and lungs and for amelioration of vomiting and fever."
Hypertension,beet greens/collards/cress/romaine/greens/spinach,safe,beet greens/collards/cress/romaine/greens/spinach may support balanced diet for hypertension.
Prediabetes,Macaroni/Noodle/pasta/rice,safe,Macaroni/Noodle/pasta/rice may support balanced diet for prediabetes.
Prediabetes,Stew (meat/rice/vegetable),can worsen,Stew (meat/rice/vegetable) with serving size 140.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Pork,dangerous,Pork is high in fat/sugar and may worsen hypertension.
chronic diseases,oats,safe,Oats products are believed to contain many bioactives that possess potential beneficial properties against chronic diseases.
cardiovascular disease,malnutrition,dangerous,"Malnutrition is a condition most commonly arising from the inadequate consumption of nutrients necessary to maintain physiological health and is associated with the development of cardiovascular disease, osteoporosis, and sarcopenia."
Hypertension,Cereal,safe,Cereal may support balanced diet for hypertension.
Hypertension,fruit and vegetable smoothie,can worsen,fruit and vegetable smoothie with serving size 233.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
knee osteoarthritis,milk consumption,safe,Observational studies showed inverse associations between milk consumption and knee osteoarthritis (knee OA).
bmd,inadequate diet,safe,"Inadequate diet, which may occur in depressed individuals prescribed SSRIs is also associated with decreased BMD."
coeliac disease,wheat,dangerous,"Wheat is one of the major crops grown, processed and consumed by humankind and is associated with both intolerances (notably coeliac disease) and allergies."
cancers,allium,safe,Many epidemiological studies support the protective role of garlic and related allium foods against the development of certain human cancers.
Prediabetes,carrots/pumpkin/squash/sweet potato/,can worsen,carrots/pumpkin/squash/sweet potato/ with serving size 72.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
alzheimer's disease,coffee,safe,Several epidemiological and preclinical studies supported the protective effect of coffee on Alzheimer's disease (AD).
gut dysbiosis,fermented foods,safe,"Regular consumption of fermented foods (e.g., kimchi, kefir, etc.) may represent a potential avenue to counter the proinflammatory effects of gut dysbiosis."
Hypertension,Cream,can worsen,Cream with serving size 32.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
ischemic heart disease,fish,safe,"The low mortality rates from ischemic heart disease and cancer are thought to reflect the low prevalence of obesity in Japan; low intake of red meat, specifically saturated fatty acids; and high intakes of fish, specifically n-3 polyunsaturated fatty acids, plant foods such as soybeans, and nonsugar-sweetened beverages such as green tea."
inflammatory diseases,taraxacum officinale,safe,"Taraxacum officinale (L.), commonly called dandelion has been used for centuries as a natural medicine to treat inflammatory diseases including some metabolic alterations associated with obesity."
Hypertension,Beef,dangerous,Beef is high in fat/sugar and may worsen hypertension.
anaemia,iron rich foods,safe,"Improving overall household living conditions, increasing maternal education, delaying childbearing and introducing iron rich foods at six months of age may reduce the likelihood of anaemia in toddlerhood."
Prediabetes,dried fruit,can worsen,dried fruit with serving size 28.4g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
alzheimer's disease,docosahexaenoic acid,safe,"Docosahexaenoic acid (DHA) is a fatty acid abundant in the brain, and is reported to have protective effects against Alzheimer's disease, although the mechanistic effects of DHA against Alzheimer's pathophysiology remain unclear."
asthmatic reactions,flour,dangerous,"Bronchial provocation tests by ""occupational"" exposure to flour provoked dual asthmatic reactions accompanied by rhinitis in two atopic bakers engaged in the manufacture of bread and pies."
hyperglycemia,honeybush tea,safe,These results imply that the sequential extracts of honeybush tea (particularly the aqueous and ethyl acetate extracts) may not only exhibit antioxidant potentials but also mediate anti-hyperglycemia activities by inhibiting lipid and carbohydrate digestion.
degenerative diseases,fruits,safe,"Several studies have shown that a high consumption of vegetables and fruits is consistently associated with a low risk of oxidative stress-induced diseases, which includes some degenerative diseases such as amyotrophic lateral sclerosis, Alzheimer and Parkinson."
myocardial infarction,traditional italian diet,safe,"Between 1935 and 1965, the Italian-American inhabitants of Roseto (Pennsylvania, USA) observed a traditional Italian diet and maintained half the mortality rates from myocardial infarction compared with neighboring cities."
colon neoplastic lesions,garlic,safe,Diallyl disulfide (DADS) is a major organosulphur compound present in garlic with an anti-mitotic potential against colon neoplastic lesions in vivo and colon tumour cell growth in vitro.
allergy,rice,dangerous,"In rice allergy, proteins with molecular masses of 14-16, 26, 33, and 56 kDa have been demonstrated to be potentially allergenic."
Prediabetes,Seeds,safe,Seeds may support balanced diet for prediabetes.
cardiovascular mortality,glycemic load (gl) diet,dangerous,Recent epidemiologic studies have found that a high glycemic index (GI) and glycemic load (GL) diet are associated with a higher risk for metabolic complications and cardiovascular mortality.
airway obstruction,milk,safe,"The hypothesis that vitamin A, or foods rich in vitamin A such as milk, protects against the development of airway obstruction was tested in a subsample of data from the 1971-1975 National Health and Nutrition Examination Survey."
nephrolithiasis,fruits,safe,"Dietary Approaches to Stop Hypertension (DASH), a low-sodium and fruits/vegetables-rich diet, has been associated with a lower risk of nephrolithiasis, due to altered urinary biochemistry."
pain,raspberries,safe,"In this context, commonly available fruits, such as blueberries, raspberries and strawberries, and pomegranates have shown promising results in reducing pain and inflammation in experimental models and in human clinical studies of arthritis."
Hypertension,egg,can worsen,egg with serving size 50.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
ad,beer,safe,"High levels of consumption (>92 times/month) of fermented foods such as doenjang, chungkookjang, kimchi, fermented seafood, makgeolli, and beer were associated with a lower prevalence of AD (OR, 0.56; 95% confidence interval [CI], 0.37-0.84)."
dyspepsia,cinnamomum,safe,"Cinnamomum cassia (C. cassia, Lauraceae family), commonly used for treating dyspepsia, gastritis, blood circulation, and inflammatory diseases is considered as one of the 50 fundamental herbs in traditional Chinese medicine."
rhythm disorders,added salt,dangerous,"Saturated fat, added salt, and excessive energy drink consumption appear to be harmful for patients with rhythm disorders."
ad,peanut oil,safe,"Some bath oils and skin creams used for treating AD contain peanut oil, and it has been suggested that exposure to peanut allergens through a disrupted skin barrier is a potential cause of PA."
alzheimer's disease,lemon,safe,"Therefore, this study presents the neuroprotective potentials of lemon and tangerine peels-derived EOs, and the possibility of their exploration as neuroactive agents and alternative in the management of Alzheimer's disease (AD)."
Hypertension,Beef,can worsen,Beef with serving size 65.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
anaphylaxis,peanut,dangerous,Peanut allergy affects 3% of Australian children and has a higher risk of anaphylaxis than most food allergies.
stroke,olive oil,safe,"A Cretan Mediterranean diet, high in olive oil, whole grains, fruits, vegetables and legumes, and low in cholesterol and saturated fat, can reduce stroke by 40% or more in high-risk patients."
Hypertension,Chicken/Turkey,safe,Chicken/Turkey may support balanced diet for hypertension.
skin inflammation,star anise,safe,"f. (star anise) has been used in traditional medicine for treatment of skin inflammation, rheumatism, asthma, and bronchitis."
cardiovascular diseases,fruit,safe,Fruit and vegetable intake has been reported as one of the significant protective factors against the development of cardiovascular diseases (CVD).
dermatitis,onion,dangerous,"Onion (Allium cepa) handling can induce contact dermatitis, rhinoconjunctivitis and asthma."
Prediabetes,milk,can worsen,milk with serving size 244.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,tomato/salsa/,safe,tomato/salsa/ may support balanced diet for hypertension.
Prediabetes,Burrito/Taco/Enchilada/Pizza/lasanga,safe,Burrito/Taco/Enchilada/Pizza/lasanga may support balanced diet for prediabetes.
Hypertension,puerto rican style food,safe,puerto rican style food may support balanced diet for hypertension.
cancer,allium,safe,"Allium vegetables have been shown to have beneficial effects against several diseases, including cancer."
liver cirrhosis,milk thistle extracts,safe,"Milk thistle extracts have been used as medicinal herbs in the treatment of liver cirrhosis, chronic hepatitis (liver inflammation), and gallbladder disorders."
diabetes,breadfruit,safe,Breadfruit is a traditional staple crop from Pacific islands with the potential to improve worldwide food security and mitigate diabetes.
Hypertension,tomato/salsa/,safe,tomato/salsa/ may support balanced diet for hypertension.
asthma,garlic,dangerous,"Twenty-three positive bronchial or nasal challenges were performed on 16 patients (six farmers, six bakery workers, and four food industry workers) and asthma or rhinitis was diagnosed as caused by cereal flour or grain, cow epithelium, storage mites, garlic, or soy dust."
low-grade inflammation,diet,safe,"Low-grade inflammation is a suggested mechanism in the development of metabolic syndrome (MetS), and diet could act as a regulator."
obesity,ginger,safe,Ginger exerts protective effects on obesity and its complications.
neurodegenerative disorders,extra virgin olive oil,safe,"In the central nervous system (CNS), extra virgin olive oil (EVOO) produces interesting effects against neurodegenerative disorders including Alzheimer's disease (AD)."
flagellate dermatitis,shiitake mushrooms,dangerous,Flagellate dermatitis caused by the intake of shiitake mushrooms is characterized by linear erythematous lesions that are intensely pruritic.
human ailments,ginger,safe,"Besides its food-additive functions, ginger has a long history of medicinal use for the treatment of a variety of human ailments including common colds, fever, rheumatic disorders, gastrointestinal complications, motion sickness, diabetes, cancer, etc."
type 2 diabetes mellitus,healthy diets,safe,It is hypothesized that decreased advanced glycation end products (AGEs) levels could affect type 2 diabetes mellitus (T2DM) remission in newly diagnosed patients through the consumption of two healthy diets.
Hypertension,shakes/drink mixes,safe,shakes/drink mixes may support balanced diet for hypertension.
respiratory tract infections,lemon,safe,"Natural products like ginger, turmeric, garlic, onion, cinnamon, lemon, neem, basil, and black pepper have been scientifically proven to have therapeutic benefits against acute respiratory tract infections including pulmonary fibrosis, diffuse alveolar damage, pneumonia, and acute respiratory distress syndrome, as well as associated septic shock, lung and kidney injury, all of which are symptoms associated with COVID-19 infection."
hyperglycemia,honeybush tea,safe,These results imply that the sequential extracts of honeybush tea (particularly the aqueous and ethyl acetate extracts) may not only exhibit antioxidant potentials but also mediate anti-hyperglycemia activities by inhibiting lipid and carbohydrate digestion.
anemia deficiency,glycine max,safe,"Glycine max is commonly used in Algeria for treatment of anemia deficiency and osteoporosis, it ranks first in terms of vegetal proteins."
Hypertension,butter,can worsen,butter with serving size 14.2g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,egg,can worsen,egg with serving size 50.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
cerebrovascular disease,salt,dangerous,"The decreasing mortality rates from cerebrovascular disease are thought to reflect the increases in animal foods, milk, and dairy products and consequently in saturated fatty acids and calcium, together with a decrease in salt intake which may have led to a decrease in blood pressure."
Hypertension,Ice Cream,dangerous,Ice Cream is high in fat/sugar and may worsen hypertension.
chills,capsinoids from nonpungent chili pepper,safe,"Capsinoids from nonpungent chili pepper cultivar have been reported to reduce body fat mass, promote metabolism, and improve unidentified complaints of chills."
cerebrovascular disease,salt,dangerous,"The decreasing mortality rates from cerebrovascular disease are thought to reflect the increases in animal foods, milk, and dairy products and consequently in saturated fatty acids and calcium, together with a decrease in salt intake which may have led to a decrease in blood pressure."
tumour,docosahexaenoic acid,safe,Docosahexaenoic acid (DHA) has been shown to reduce tumour growth in preclinical models when combined with chemotherapy and is known to beneficially modulate systemic immune function.
allergies,fruits,dangerous,"Recently, the prevalence of food allergies during childhood is increasing, with fruits being common allergens."
Hypertension,Cream,dangerous,Cream is high in fat/sugar and may worsen hypertension.
dyspepsia,cinnamomum,safe,"Cinnamomum cassia (C. cassia, Lauraceae family), commonly used for treating dyspepsia, gastritis, blood circulation, and inflammatory diseases is considered as one of the 50 fundamental herbs in traditional Chinese medicine."
colon cancer,garlic,safe,"The results indicate that grape, soybean, green tea, garlic, olive, and pomegranate are the most effective plants against colon cancer."
inflammation,olea europaea,safe,Bioactive extracts from Olea europaea have anti-inflammatory activity and have been shown to reduce systemic inflammation in other animal models.
Hypertension,beet greens/collards/cress/romaine/greens/spinach,can worsen,beet greens/collards/cress/romaine/greens/spinach with serving size 38.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
dementia,fruit of alpinia oxyphylla,safe,The fruit of Alpinia oxyphylla is often used in traditional Chinese medicine to treat dementia and memory defects.
cardiovascular disease,fruit,safe,Fruit and vegetable intake has been associated with a reduced risk of cardiovascular disease.
coronary disease,cereal,safe,"The soluble dietary fiber (1-3)(1-4) mixed linked ÃÂÃÂÃÂÃÂ²-D-glucan from cereal grains is a valuable component of a healthy diet, which reduces risks of coronary disease and diabetes."
stroke,mediterranean diet,safe,The Mediterranean diet (MD) has been shown to lower stroke risk.
allergy,peanut,dangerous,"Peanut allergy that affects 1.4-4.5% of North American children, has increased in prevalence in the past 20 years, is often diagnosed early in life, and outgrown in fewer than 20-32% of children by age 6."
cardiovascular disease,olive oil,safe,"A Mediterranean diet supplemented with olive oil and nuts prevents cardiovascular disease in clinical studies, but the underlying mechanisms are incompletely understood."
Prediabetes,fruit and vegetable smoothie,safe,fruit and vegetable smoothie is nutritious and may help manage prediabetes.
intra vascularhaemolytic anaemia,allium sativa ( garlic ),dangerous,"Despite the high acceptability of Allium sativa (Garlic) as a remedy for many diseases as earlier stated by manyresearchers, previous studies have shown that chronic and unregulated consumption of garlic may result to intra vascularhaemolytic anaemia in rats."
hypoglycemic,black rice,dangerous,Cyanidin-3-glucoside (C3G) from black rice was reported to have hypoglycemic effects and an anti-osteoporosis effect in diabetic rats.
Hypertension,Cakes/cookies/pies,safe,Cakes/cookies/pies may support balanced diet for hypertension.
chronic diseases,coffee consumption,safe,"Coffee consumption has been associated with a significant decrease in the risk of developing chronic diseases such as Parkinson disease, diabetes type-2 and several types of cancers (e.g. colon, liver)."
atherosclerosis,red meat,dangerous,"Recent evidence has also suggested carnitine from red meat, as a precursor for trimethylamine-N-oxide, which has been shown to cause atherosclerosis, may increase the risk of suffering CVD in experimental animals."
allergic reaction,eggs,dangerous,"Eggs and their derived products are common foods that can induce food allergic reaction, especially in children."
Hypertension,Seeds,safe,Seeds may support balanced diet for hypertension.
Prediabetes,milk,safe,milk is nutritious and may help manage prediabetes.
allergies,peanut,dangerous,The characteristics of tree nuts (TNs) and peanut (PN) allergies vary in different regions of the world.
Prediabetes,Fish,safe,Fish is nutritious and may help manage prediabetes.
diabetes,ginger,safe,Recent evidence revealed the potential of ginger for reducing diabetes-induced oxidative stress markers.
Prediabetes,Biscuits,can worsen,Biscuits with serving size 49.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Bread,can worsen,Bread with serving size 25.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
hypoxia,dietary virgin olive oil,safe,Recent studies suggest that dietary virgin olive oil reduces hypoxia-reoxygenation injury in rat brain.
vomiting,oryza sativa,safe,"Oryza sativa L. is consumed globally as a staple food, and its roots have been used as a Korean and Chinese medical supplement for protection of the stomach and lungs and for amelioration of vomiting and fever."
Prediabetes,Biscuits,can worsen,Biscuits with serving size 49.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
nephrolithiasis,fruits,safe,"Dietary Approaches to Stop Hypertension (DASH), a low-sodium and fruits/vegetables-rich diet, has been associated with a lower risk of nephrolithiasis, due to altered urinary biochemistry."
musculoskeletal diseases,fruit of lycium chinense (lc),safe,"The fruit of Lycium chinense (LC), one of the most popular natural materials, has been used to counter the effects of musculoskeletal diseases in oriental medicine."
Prediabetes,Crackers,safe,Crackers may support balanced diet for prediabetes.
Prediabetes,beet greens/collards/cress/romaine/greens/spinach,can worsen,beet greens/collards/cress/romaine/greens/spinach with serving size 38.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
osteopenia,alcoholics,dangerous,Osteopenia or osteoporosis occurs frequently in alcoholics and patients with alcoholic fatty liver disease.
neural tube defects,maize,safe,Wheat and maize (corn) flour are staple crops consumed widely throughout the world and have been fortified with folic acid in over 80 countries to prevent neural tube defects.
Hypertension,Macaroni/Noodle/pasta/rice,can worsen,Macaroni/Noodle/pasta/rice with serving size 176.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,butter,can worsen,butter with serving size 14.2g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Ice Cream,can worsen,Ice Cream with serving size 130.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
metabolic disturbances,cocoa polyphenols,safe,Cocoa polyphenols exhibit high antioxidant activity and have been proposed as a potential adjuvant for the treatment of metabolic disturbances.
death and disability,salt,dangerous,Diets high in salt are a leading risk for death and disability globally.
hypertension,whey protein (wp),safe,"Besides their nutritional value, whey protein (WP) peptides are food components retaining important pharmacological properties for controlling hypertension."
asthma,fish oil,safe,"Maternal dietary interventions during pregnancy with fish oil and high dose vitamin D have been shown to reduce the incidence of asthma and wheeze in offspring, potentially through microbial effects in pregnancy or early childhood."
knee osteoarthritis,milk consumption,safe,Observational studies showed inverse associations between milk consumption and knee osteoarthritis (knee OA).
gut dysbiosis,fermented foods,safe,"Regular consumption of fermented foods (e.g., kimchi, kefir, etc.) may represent a potential avenue to counter the proinflammatory effects of gut dysbiosis."
Hypertension,Stew (meat/rice/vegetable),can worsen,Stew (meat/rice/vegetable) with serving size 140.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,Pancakes/waffles,safe,Pancakes/waffles may support balanced diet for prediabetes.
obesity,cinnamon,safe,"Other structurally homologous nutraceuticals, derived from red chili, cinnamon, cloves, black pepper, and ginger, also exhibit effects against obesity and insulin resistance."
Prediabetes,raw vegetables,safe,raw vegetables is nutritious and may help manage prediabetes.
colon carcinogenesis,garlic,safe,"Diallyl disulfide (DADS), a sulfur compound derived from garlic, has been shown to have protective effects against colon carcinogenesis in several studies performed in rodent models."
cancer,allium,safe,"Allium vegetables have been shown to have beneficial effects against several diseases, including cancer."
autoimmune diseases,processed foods,dangerous,"Among these, dietary habits, and especially an excessive salt, typical of processed foods, has been implicated in the development of autoimmune diseases."
atherosclerosis,nuts,safe,"Thus, the inclusion of food sources of dietary antioxidants, such as different kinds of nuts, may improve biomarkers related to oxidative stress, contributing to a possible reduction in atherosclerosis progression."
ad,wine,safe,We also showed that moderate consumption of wine was associated with a lower risk of developing AD.
allergy,milk,dangerous,"Although soy is considered a major food allergen (along with milk, egg, peanut, fish, and wheat), the prevalence of soy allergy in the pediatric population is not well defined."
diabetes,flour,dangerous,"Alloxan (ALX), a food-additive, intaken daily through flour causes diabetes and genotoxicity by inducing chromosomal-aberration and DNA-damage."
Hypertension,Sussages,can worsen,Sussages with serving size 100.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,sugar/desserts,can worsen,sugar/desserts with serving size 200.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
type 2 diabetes mellitus,zingiber officinale,safe,Zingiber officinale is being used as diet-based therapy because of its wide therapeutic potential in type 2 diabetes mellitus (T2DM) and against diabetic complications by directly interacting with different molecular and cellular pathways that provoke the pathogenesis of T2DM.
pain,tea,safe,"Dietary polyphenols and other bioactive compounds in berries, curcumin, and tea have shown effects in ameliorating pain and inflammation in OA, but few clinical studies have been reported."
hyperuricaemia,sucrose,dangerous,"In addition to sucrose and high fructose corn syrup, fresh fruits also contain fructose, suggesting that patients with hyperuricaemia or gout might also avoid fresh fruit."
Prediabetes,potato,can worsen,potato with serving size 369.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,Crackers,can worsen,Crackers with serving size 30.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
nausea,ginger,safe,Vitamin B6 and ginger are both effective for nausea and vomiting in early pregnancy.
