type,medicine,condition,food,interaction,explanation,safe_alternative
medicine,valproate,,spinach,safe,Spinach with valproate generally poses no significant problem when consumed in moderation.,
medicine,tacrolimus,,avocado,safe,Avocado with tacrolimus generally poses no significant problem when consumed in moderation.,
medicine,nitrofurantoin,,french fries,safe,French fries with nitrofurantoin generally poses no significant problem when consumed in moderation.,
medicine,losartan,,sambar,safe,Sambar with losartan generally poses no significant problem when consumed in moderation.,
medicine,esomeprazole,,halwa,safe,Halwa with esomeprazole generally poses no significant problem when consumed in moderation.,
medicine,venlafaxine,,milk,safe,Milk with venlafaxine generally poses no significant problem when consumed in moderation.,
medicine,amoxicillin,,tempeh,safe,Tempeh with amoxicillin generally poses no significant problem when consumed in moderation.,
medicine,telmisartan,,kathi roll,safe,Kathi roll with telmisartan generally poses no significant problem when consumed in moderation.,
medicine,rosuvastatin,,gulab jamun,safe,Gulab jamun with rosuvastatin generally poses no significant problem when consumed in moderation.,
medicine,dabigatran,,kheer,safe,Kheer with dabigatran generally poses no significant problem when consumed in moderation.,
medicine,iron supplements,,veg biryani,safe,Veg biryani with iron supplements generally poses no significant problem when consumed in moderation.,
medicine,itraconazole,,papaya,safe,Papaya with itraconazole generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,broccoli,safe,Broccoli with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,doxycycline,,bhujia,safe,Bhujia with doxycycline generally poses no significant problem when consumed in moderation.,
medicine,itraconazole,,kathi roll,safe,Kathi roll with itraconazole generally poses no significant problem when consumed in moderation.,
medicine,clarithromycin,,pulao,safe,Pulao with clarithromycin generally poses no significant problem when consumed in moderation.,
medicine,valproate,,chole,safe,Chole with valproate generally poses no significant problem when consumed in moderation.,
medicine,lisinopril,,leafy greens salad,safe,Leafy greens salad with lisinopril generally poses no significant problem when consumed in moderation.,
medicine,metformin,,mysore pak,risky,High-sugar foods like mysore pak can worsen glucose control while on metformin.,
medicine,fluoxetine,,ginger,safe,Ginger with fluoxetine generally poses no significant problem when consumed in moderation.,
medicine,ibuprofen,,sweet potato,safe,Sweet potato with ibuprofen generally poses no significant problem when consumed in moderation.,
medicine,esomeprazole,,alcohol,safe,Alcohol with esomeprazole generally poses no significant problem when consumed in moderation.,
medicine,atorvastatin,,ice cream,safe,Ice cream with atorvastatin generally poses no significant problem when consumed in moderation.,
medicine,esomeprazole,,bitter gourd,safe,Bitter gourd with esomeprazole generally poses no significant problem when consumed in moderation.,
medicine,tacrolimus,,naan,safe,Naan with tacrolimus generally poses no significant problem when consumed in moderation.,
medicine,isocarboxazid,,bhujia,safe,Bhujia with isocarboxazid generally poses no significant problem when consumed in moderation.,
medicine,tetracycline,,yogurt,risky,Minerals in dairy can bind tetracycline and reduce absorption; separate dosing.,
medicine,fenofibrate,,papaya,safe,Papaya with fenofibrate generally poses no significant problem when consumed in moderation.,
medicine,azithromycin,,leafy greens salad,safe,Leafy greens salad with azithromycin generally poses no significant problem when consumed in moderation.,
medicine,dabigatran,,spinach,safe,Spinach with dabigatran generally poses no significant problem when consumed in moderation.,
medicine,simvastatin,,garlic,safe,Garlic with simvastatin generally poses no significant problem when consumed in moderation.,
medicine,lisinopril,,idli,safe,Idli with lisinopril generally poses no significant problem when consumed in moderation.,
medicine,iron supplements,,french fries,safe,French fries with iron supplements generally poses no significant problem when consumed in moderation.,
medicine,ramipril,,pakora,safe,Pakora with ramipril generally poses no significant problem when consumed in moderation.,
medicine,isocarboxazid,,kimchi,dangerous,Tyramine in kimchi may trigger severe hypertension with MAOIs.,
medicine,cyclosporine,,white rice,safe,White rice with cyclosporine generally poses no significant problem when consumed in moderation.,
medicine,gliclazide,,samosa,safe,Samosa with gliclazide generally poses no significant problem when consumed in moderation.,
medicine,naproxen,,coffee,risky,Coffee with naproxen may increase gastric irritation or bleeding risk.,
medicine,esomeprazole,,laddu,safe,Laddu with esomeprazole generally poses no significant problem when consumed in moderation.,
medicine,amlodipine,,dates,safe,Dates with amlodipine generally poses no significant problem when consumed in moderation.,
medicine,pantoprazole,,ghee,safe,Ghee with pantoprazole generally poses no significant problem when consumed in moderation.,
medicine,warfarin,,spinach,risky,Spinach is rich in vitamin K which counteracts warfarin's effect.,
medicine,fluoxetine,,dosa,safe,Dosa with fluoxetine generally poses no significant problem when consumed in moderation.,
medicine,amoxicillin,,banana,safe,Banana with amoxicillin generally poses no significant problem when consumed in moderation.,
medicine,sitagliptin,,beer,safe,Beer with sitagliptin generally poses no significant problem when consumed in moderation.,
medicine,citalopram,,paratha,safe,Paratha with citalopram generally poses no significant problem when consumed in moderation.,
medicine,clarithromycin,,grapefruit juice,safe,Grapefruit juice with clarithromycin generally poses no significant problem when consumed in moderation.,
medicine,fenofibrate,,momos,safe,Momos with fenofibrate generally poses no significant problem when consumed in moderation.,
medicine,ramipril,,spinach soup,safe,Spinach soup with ramipril generally poses no significant problem when consumed in moderation.,
medicine,enoxaparin,,peda,safe,Peda with enoxaparin generally poses no significant problem when consumed in moderation.,
medicine,fexofenadine,,dosa,safe,Dosa with fexofenadine generally poses no significant problem when consumed in moderation.,
medicine,simvastatin,,dal makhani,safe,Dal makhani with simvastatin generally poses no significant problem when consumed in moderation.,
medicine,clopidogrel,,soy sauce,safe,Soy sauce with clopidogrel generally poses no significant problem when consumed in moderation.,
medicine,levetiracetam,,french fries,safe,French fries with levetiracetam generally poses no significant problem when consumed in moderation.,
medicine,ramipril,,pomegranate juice,safe,Pomegranate juice with ramipril generally poses no significant problem when consumed in moderation.,
medicine,ramipril,,kheer,safe,Kheer with ramipril generally poses no significant problem when consumed in moderation.,
medicine,pravastatin,,st johns wort,safe,St johns wort with pravastatin generally poses no significant problem when consumed in moderation.,
medicine,tacrolimus,,pulao,safe,Pulao with tacrolimus generally poses no significant problem when consumed in moderation.,
medicine,lisinopril,,multigrain roti,safe,Multigrain roti with lisinopril generally poses no significant problem when consumed in moderation.,
medicine,omeprazole,,halwa,safe,Halwa with omeprazole generally poses no significant problem when consumed in moderation.,
medicine,losartan,,banana,risky,Banana is potassium-rich; ARBs can raise serum potassium.,
medicine,fenofibrate,,pickles,safe,Pickles with fenofibrate generally poses no significant problem when consumed in moderation.,
medicine,ketoconazole,,kale,safe,Kale with ketoconazole generally poses no significant problem when consumed in moderation.,
medicine,loratadine,,aged cheese,safe,Aged cheese with loratadine generally poses no significant problem when consumed in moderation.,
medicine,diclofenac,,french fries,risky,French fries with diclofenac may increase gastric irritation or bleeding risk.,
medicine,heparin,,energy drink,safe,Energy drink with heparin generally poses no significant problem when consumed in moderation.,
medicine,diphenhydramine,,naan,safe,Naan with diphenhydramine generally poses no significant problem when consumed in moderation.,
medicine,calcium supplements,,coffee,safe,Coffee with calcium supplements generally poses no significant problem when consumed in moderation.,
medicine,nitrofurantoin,,ice cream,safe,Ice cream with nitrofurantoin generally poses no significant problem when consumed in moderation.,
medicine,amitriptyline,,dark chocolate,safe,Dark chocolate with amitriptyline generally poses no significant problem when consumed in moderation.,
medicine,digoxin,,apple juice,safe,Apple juice with digoxin generally poses no significant problem when consumed in moderation.,
medicine,omeprazole,,dried apricots,safe,Dried apricots with omeprazole generally poses no significant problem when consumed in moderation.,
medicine,digoxin,,potato,safe,Potato with digoxin generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,chole,safe,Chole with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,losartan,,sev,safe,Sev with losartan generally poses no significant problem when consumed in moderation.,
medicine,fexofenadine,,kathi roll,safe,Kathi roll with fexofenadine generally poses no significant problem when consumed in moderation.,
medicine,theophylline,,kimchi,safe,Kimchi with theophylline generally poses no significant problem when consumed in moderation.,
medicine,ramipril,,rajma,safe,Rajma with ramipril generally poses no significant problem when consumed in moderation.,
medicine,venlafaxine,,ghee,safe,Ghee with venlafaxine generally poses no significant problem when consumed in moderation.,
medicine,iron supplements,,garlic,safe,Garlic with iron supplements generally poses no significant problem when consumed in moderation.,
medicine,ranitidine,,banana,safe,Banana with ranitidine generally poses no significant problem when consumed in moderation.,
medicine,pravastatin,,dark chocolate,safe,Dark chocolate with pravastatin generally poses no significant problem when consumed in moderation.,
medicine,clarithromycin,,dried apricots,safe,Dried apricots with clarithromycin generally poses no significant problem when consumed in moderation.,
medicine,ketoconazole,,ghee,safe,Ghee with ketoconazole generally poses no significant problem when consumed in moderation.,
medicine,omeprazole,,maggi noodles,safe,Maggi noodles with omeprazole generally poses no significant problem when consumed in moderation.,
medicine,amoxicillin,,cranberry,safe,Cranberry with amoxicillin generally poses no significant problem when consumed in moderation.,
medicine,loratadine,,ginger,safe,Ginger with loratadine generally poses no significant problem when consumed in moderation.,
medicine,doxycycline,,grapes,safe,Grapes with doxycycline generally poses no significant problem when consumed in moderation.,
medicine,lithium,,dosa,safe,Dosa with lithium generally poses no significant problem when consumed in moderation.,
medicine,pioglitazone,,paneer,safe,Paneer with pioglitazone generally poses no significant problem when consumed in moderation.,
medicine,ibuprofen,,multigrain roti,safe,Multigrain roti with ibuprofen generally poses no significant problem when consumed in moderation.,
medicine,ciprofloxacin,,oats,safe,Oats with ciprofloxacin generally poses no significant problem when consumed in moderation.,
medicine,atenolol,,edamame,safe,Edamame with atenolol generally poses no significant problem when consumed in moderation.,
medicine,enoxaparin,,rasgulla,safe,Rasgulla with enoxaparin generally poses no significant problem when consumed in moderation.,
medicine,ibuprofen,,pulao,safe,Pulao with ibuprofen generally poses no significant problem when consumed in moderation.,
medicine,fluconazole,,pulao,safe,Pulao with fluconazole generally poses no significant problem when consumed in moderation.,
medicine,metronidazole,,brown rice,safe,Brown rice with metronidazole generally poses no significant problem when consumed in moderation.,
medicine,aspirin,,tonic water,safe,Tonic water with aspirin generally poses no significant problem when consumed in moderation.,
medicine,telmisartan,,coconut water,risky,ARBs with potassium-rich drinks can raise serum potassium; monitor.,
medicine,tetracycline,,paneer,risky,Minerals in dairy can bind tetracycline and reduce absorption; separate dosing.,
medicine,fenofibrate,,carrot,safe,Carrot with fenofibrate generally poses no significant problem when consumed in moderation.,
medicine,omeprazole,,tempeh,safe,Tempeh with omeprazole generally poses no significant problem when consumed in moderation.,
medicine,amoxicillin,,apple juice,safe,Apple juice with amoxicillin generally poses no significant problem when consumed in moderation.,
medicine,ciprofloxacin,,licorice,safe,Licorice with ciprofloxacin generally poses no significant problem when consumed in moderation.,
medicine,carbamazepine,,bhujia,safe,Bhujia with carbamazepine generally poses no significant problem when consumed in moderation.,
medicine,apixaban,,orange juice,safe,Orange juice with apixaban generally poses no significant problem when consumed in moderation.,
medicine,ramipril,,st johns wort,safe,St johns wort with ramipril generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,soy sauce,safe,Soy sauce with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,amlodipine,,kheer,safe,Kheer with amlodipine generally poses no significant problem when consumed in moderation.,
medicine,ciprofloxacin,,banana,safe,Banana with ciprofloxacin generally poses no significant problem when consumed in moderation.,
medicine,doxycycline,,rasmalai,safe,Rasmalai with doxycycline generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,mango,safe,Mango with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,rivaroxaban,,garlic,safe,Garlic with rivaroxaban generally poses no significant problem when consumed in moderation.,
medicine,simvastatin,,black tea,safe,Black tea with simvastatin generally poses no significant problem when consumed in moderation.,
medicine,telmisartan,,aged cheese,safe,Aged cheese with telmisartan generally poses no significant problem when consumed in moderation.,
medicine,ciprofloxacin,,ginger,safe,Ginger with ciprofloxacin generally poses no significant problem when consumed in moderation.,
medicine,sitagliptin,,kachori,safe,Kachori with sitagliptin generally poses no significant problem when consumed in moderation.,
medicine,warfarin,,kathi roll,safe,Kathi roll with warfarin generally poses no significant problem when consumed in moderation.,
medicine,loratadine,,tomato,safe,Tomato with loratadine generally poses no significant problem when consumed in moderation.,
medicine,diphenhydramine,,edamame,safe,Edamame with diphenhydramine generally poses no significant problem when consumed in moderation.,
medicine,fluoxetine,,biryani,safe,Biryani with fluoxetine generally poses no significant problem when consumed in moderation.,
medicine,magnesium supplements,,grapefruit juice,safe,Grapefruit juice with magnesium supplements generally poses no significant problem when consumed in moderation.,
medicine,digoxin,,chips,safe,Chips with digoxin generally poses no significant problem when consumed in moderation.,
medicine,levothyroxine,,veg biryani,safe,Veg biryani with levothyroxine generally poses no significant problem when consumed in moderation.,
medicine,amlodipine,,maggi noodles,safe,Maggi noodles with amlodipine generally poses no significant problem when consumed in moderation.,
medicine,atenolol,,kimchi,safe,Kimchi with atenolol generally poses no significant problem when consumed in moderation.,
medicine,doxycycline,,beetroot,safe,Beetroot with doxycycline generally poses no significant problem when consumed in moderation.,
medicine,pravastatin,,pulao,safe,Pulao with pravastatin generally poses no significant problem when consumed in moderation.,
medicine,ibuprofen,,alcohol,risky,Alcohol with ibuprofen may increase gastric irritation or bleeding risk.,
medicine,rosuvastatin,,maggi noodles,safe,Maggi noodles with rosuvastatin generally poses no significant problem when consumed in moderation.,
medicine,valproate,,naan,safe,Naan with valproate generally poses no significant problem when consumed in moderation.,
medicine,ketoconazole,,paratha,safe,Paratha with ketoconazole generally poses no significant problem when consumed in moderation.,
medicine,diphenhydramine,,spinach soup,safe,Spinach soup with diphenhydramine generally poses no significant problem when consumed in moderation.,
medicine,lithium,,paratha,safe,Paratha with lithium generally poses no significant problem when consumed in moderation.,
medicine,naproxen,,butter chicken,safe,Butter chicken with naproxen generally poses no significant problem when consumed in moderation.,
medicine,iron supplements,,dates,safe,Dates with iron supplements generally poses no significant problem when consumed in moderation.,
medicine,ibuprofen,,red wine,risky,Red wine with ibuprofen may increase gastric irritation or bleeding risk.,
medicine,itraconazole,,white rice,safe,White rice with itraconazole generally poses no significant problem when consumed in moderation.,
medicine,simvastatin,,momos,safe,Momos with simvastatin generally poses no significant problem when consumed in moderation.,
medicine,itraconazole,,carrot,safe,Carrot with itraconazole generally poses no significant problem when consumed in moderation.,
medicine,doxycycline,,palak paneer,safe,Palak paneer with doxycycline generally poses no significant problem when consumed in moderation.,
medicine,citalopram,,turmeric latte,safe,Turmeric latte with citalopram generally poses no significant problem when consumed in moderation.,
medicine,ramipril,,banana,risky,ACE inhibitors plus high-potassium foods may increase hyperkalemia risk.,
medicine,simvastatin,,dried apricots,safe,Dried apricots with simvastatin generally poses no significant problem when consumed in moderation.,
medicine,phenytoin,,milk,safe,Milk with phenytoin generally poses no significant problem when consumed in moderation.,
medicine,tranylcypromine,,banana,safe,Banana with tranylcypromine generally poses no significant problem when consumed in moderation.,
medicine,valproate,,dried apricots,safe,Dried apricots with valproate generally poses no significant problem when consumed in moderation.,
medicine,insulin,,dark chocolate,safe,Dark chocolate with insulin generally poses no significant problem when consumed in moderation.,
medicine,paracetamol,,yogurt,safe,Yogurt with paracetamol generally poses no significant problem when consumed in moderation.,
medicine,phenelzine,,kimchi,dangerous,Tyramine in kimchi can cause severe hypertension with MAOIs like phenelzine.,
medicine,metronidazole,,sauerkraut,safe,Sauerkraut with metronidazole generally poses no significant problem when consumed in moderation.,
medicine,phenytoin,,spinach,safe,Spinach with phenytoin generally poses no significant problem when consumed in moderation.,
medicine,losartan,,soy sauce,safe,Soy sauce with losartan generally poses no significant problem when consumed in moderation.,
medicine,sitagliptin,,milk,safe,Milk with sitagliptin generally poses no significant problem when consumed in moderation.,
medicine,ibuprofen,,sambar,safe,Sambar with ibuprofen generally poses no significant problem when consumed in moderation.,
medicine,atorvastatin,,naan,safe,Naan with atorvastatin generally poses no significant problem when consumed in moderation.,
medicine,atenolol,,pasta,safe,Pasta with atenolol generally poses no significant problem when consumed in moderation.,
medicine,tetracycline,,turmeric latte,safe,Turmeric latte with tetracycline generally poses no significant problem when consumed in moderation.,
medicine,valproate,,palak paneer,safe,Palak paneer with valproate generally poses no significant problem when consumed in moderation.,
medicine,diclofenac,,bhujia,safe,Bhujia with diclofenac generally poses no significant problem when consumed in moderation.,
medicine,isocarboxazid,,amla,safe,Amla with isocarboxazid generally poses no significant problem when consumed in moderation.,
medicine,ibuprofen,,beer,risky,Beer with ibuprofen may increase gastric irritation or bleeding risk.,
medicine,phenytoin,,pickles,safe,Pickles with phenytoin generally poses no significant problem when consumed in moderation.,
medicine,ramipril,,coconut water,risky,Coconut water is high in potassium; ACE inhibitors may increase hyperkalemia risk.,
medicine,amoxicillin,,tomato,safe,Tomato with amoxicillin generally poses no significant problem when consumed in moderation.,
medicine,metronidazole,,turmeric latte,safe,Turmeric latte with metronidazole generally poses no significant problem when consumed in moderation.,
medicine,theophylline,,carrot,safe,Carrot with theophylline generally poses no significant problem when consumed in moderation.,
medicine,theophylline,,black tea,risky,Caffeine plus theophylline may cause nervousness and palpitations.,
medicine,bupropion,,naan,safe,Naan with bupropion generally poses no significant problem when consumed in moderation.,
medicine,digoxin,,kadhi,safe,Kadhi with digoxin generally poses no significant problem when consumed in moderation.,
medicine,azithromycin,,quinoa,safe,Quinoa with azithromycin generally poses no significant problem when consumed in moderation.,
medicine,omeprazole,,spinach soup,safe,Spinach soup with omeprazole generally poses no significant problem when consumed in moderation.,
medicine,apixaban,,laddu,safe,Laddu with apixaban generally poses no significant problem when consumed in moderation.,
medicine,doxycycline,,maggi noodles,safe,Maggi noodles with doxycycline generally poses no significant problem when consumed in moderation.,
medicine,azithromycin,,butter chicken,safe,Butter chicken with azithromycin generally poses no significant problem when consumed in moderation.,
medicine,citalopram,,papaya,safe,Papaya with citalopram generally poses no significant problem when consumed in moderation.,
medicine,ibuprofen,,kachori,safe,Kachori with ibuprofen generally poses no significant problem when consumed in moderation.,
medicine,diphenhydramine,,paratha,safe,Paratha with diphenhydramine generally poses no significant problem when consumed in moderation.,
medicine,amlodipine,,laddu,safe,Laddu with amlodipine generally poses no significant problem when consumed in moderation.,
medicine,metronidazole,,dal makhani,safe,Dal makhani with metronidazole generally poses no significant problem when consumed in moderation.,
medicine,sitagliptin,,gulab jamun,safe,Gulab jamun with sitagliptin generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,gulab jamun,safe,Gulab jamun with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,fenofibrate,,coconut water,safe,Coconut water with fenofibrate generally poses no significant problem when consumed in moderation.,
medicine,venlafaxine,,grapes,safe,Grapes with venlafaxine generally poses no significant problem when consumed in moderation.,
medicine,fluoxetine,,halwa,safe,Halwa with fluoxetine generally poses no significant problem when consumed in moderation.,
medicine,itraconazole,,broccoli,safe,Broccoli with itraconazole generally poses no significant problem when consumed in moderation.,
medicine,ketoconazole,,idli,safe,Idli with ketoconazole generally poses no significant problem when consumed in moderation.,
medicine,azithromycin,,pakora,safe,Pakora with azithromycin generally poses no significant problem when consumed in moderation.,
medicine,sitagliptin,,mysore pak,safe,Mysore pak with sitagliptin generally poses no significant problem when consumed in moderation.,
medicine,lisinopril,,sweet potato,risky,Sweet potato is high in potassium; ACE inhibitors may increase hyperkalemia risk.,
medicine,fenofibrate,,paratha,safe,Paratha with fenofibrate generally poses no significant problem when consumed in moderation.,
medicine,lisinopril,,coconut water,risky,Coconut water is high in potassium; ACE inhibitors may increase hyperkalemia risk.,
medicine,paracetamol,,rasgulla,safe,Rasgulla with paracetamol generally poses no significant problem when consumed in moderation.,
medicine,valproate,,bread,safe,Bread with valproate generally poses no significant problem when consumed in moderation.,
medicine,apixaban,,dosa,safe,Dosa with apixaban generally poses no significant problem when consumed in moderation.,
medicine,enoxaparin,,kimchi,safe,Kimchi with enoxaparin generally poses no significant problem when consumed in moderation.,
medicine,amlodipine,,rajma,safe,Rajma with amlodipine generally poses no significant problem when consumed in moderation.,
medicine,tacrolimus,,rajma,safe,Rajma with tacrolimus generally poses no significant problem when consumed in moderation.,
medicine,bupropion,,turmeric latte,safe,Turmeric latte with bupropion generally poses no significant problem when consumed in moderation.,
medicine,aspirin,,halwa,safe,Halwa with aspirin generally poses no significant problem when consumed in moderation.,
medicine,loratadine,,sambar,safe,Sambar with loratadine generally poses no significant problem when consumed in moderation.,
medicine,sertraline,,carrot,safe,Carrot with sertraline generally poses no significant problem when consumed in moderation.,
medicine,simvastatin,,grapes,safe,Grapes with simvastatin generally poses no significant problem when consumed in moderation.,
medicine,levothyroxine,,st johns wort,safe,St johns wort with levothyroxine generally poses no significant problem when consumed in moderation.,
medicine,enoxaparin,,fish curry,safe,Fish curry with enoxaparin generally poses no significant problem when consumed in moderation.,
medicine,clarithromycin,,fish curry,safe,Fish curry with clarithromycin generally poses no significant problem when consumed in moderation.,
medicine,magnesium supplements,,oats,safe,Oats with magnesium supplements generally poses no significant problem when consumed in moderation.,
medicine,fluoxetine,,licorice,safe,Licorice with fluoxetine generally poses no significant problem when consumed in moderation.,
medicine,telmisartan,,avocado,risky,Avocado is potassium-rich; ARBs can raise serum potassium.,
medicine,diphenhydramine,,paneer butter masala,safe,Paneer butter masala with diphenhydramine generally poses no significant problem when consumed in moderation.,
medicine,tranylcypromine,,tempeh,dangerous,Tyramine in tempeh can cause severe hypertension with MAOIs like tranylcypromine.,
medicine,atorvastatin,,kadhi,safe,Kadhi with atorvastatin generally poses no significant problem when consumed in moderation.,
medicine,phenytoin,,whole wheat roti,safe,Whole wheat roti with phenytoin generally poses no significant problem when consumed in moderation.,
medicine,sertraline,,garlic,safe,Garlic with sertraline generally poses no significant problem when consumed in moderation.,
medicine,iron supplements,,ice cream,safe,Ice cream with iron supplements generally poses no significant problem when consumed in moderation.,
medicine,loratadine,,kathi roll,safe,Kathi roll with loratadine generally poses no significant problem when consumed in moderation.,
medicine,ciprofloxacin,,cheese,risky,Minerals in dairy can bind ciprofloxacin and reduce absorption; separate dosing.,
medicine,simvastatin,,bitter gourd,safe,Bitter gourd with simvastatin generally poses no significant problem when consumed in moderation.,
medicine,naproxen,,bread,safe,Bread with naproxen generally poses no significant problem when consumed in moderation.,
medicine,pantoprazole,,pulao,safe,Pulao with pantoprazole generally poses no significant problem when consumed in moderation.,
medicine,pioglitazone,,upma,safe,Upma with pioglitazone generally poses no significant problem when consumed in moderation.,
medicine,valproate,,avocado,safe,Avocado with valproate generally poses no significant problem when consumed in moderation.,
medicine,fluoxetine,,sambar,safe,Sambar with fluoxetine generally poses no significant problem when consumed in moderation.,
medicine,tetracycline,,palak paneer,safe,Palak paneer with tetracycline generally poses no significant problem when consumed in moderation.,
medicine,calcium supplements,,spinach,risky,Oxalates in spinach can reduce calcium absorption.,
medicine,amitriptyline,,mango,safe,Mango with amitriptyline generally poses no significant problem when consumed in moderation.,
medicine,tacrolimus,,aged cheese,safe,Aged cheese with tacrolimus generally poses no significant problem when consumed in moderation.,
medicine,atenolol,,paneer,safe,Paneer with atenolol generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,kale,safe,Kale with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,telmisartan,,pulao,safe,Pulao with telmisartan generally poses no significant problem when consumed in moderation.,
medicine,isocarboxazid,,oats,safe,Oats with isocarboxazid generally poses no significant problem when consumed in moderation.,
medicine,lisinopril,,pulao,safe,Pulao with lisinopril generally poses no significant problem when consumed in moderation.,
medicine,amoxicillin,,gulab jamun,safe,Gulab jamun with amoxicillin generally poses no significant problem when consumed in moderation.,
medicine,fexofenadine,,french fries,safe,French fries with fexofenadine generally poses no significant problem when consumed in moderation.,
medicine,esomeprazole,,dried apricots,safe,Dried apricots with esomeprazole generally poses no significant problem when consumed in moderation.,
medicine,atenolol,,rasmalai,safe,Rasmalai with atenolol generally poses no significant problem when consumed in moderation.,
medicine,telmisartan,,buttermilk,safe,Buttermilk with telmisartan generally poses no significant problem when consumed in moderation.,
medicine,ranitidine,,spring rolls,safe,Spring rolls with ranitidine generally poses no significant problem when consumed in moderation.,
medicine,calcium supplements,,bhujia,safe,Bhujia with calcium supplements generally poses no significant problem when consumed in moderation.,
medicine,doxycycline,,multigrain roti,safe,Multigrain roti with doxycycline generally poses no significant problem when consumed in moderation.,
medicine,azithromycin,,ghee,safe,Ghee with azithromycin generally poses no significant problem when consumed in moderation.,
medicine,venlafaxine,,apple juice,safe,Apple juice with venlafaxine generally poses no significant problem when consumed in moderation.,
medicine,doxycycline,,brown rice,safe,Brown rice with doxycycline generally poses no significant problem when consumed in moderation.,
medicine,bupropion,,amla,safe,Amla with bupropion generally poses no significant problem when consumed in moderation.,
medicine,naproxen,,veg biryani,safe,Veg biryani with naproxen generally poses no significant problem when consumed in moderation.,
medicine,magnesium supplements,,chole,safe,Chole with magnesium supplements generally poses no significant problem when consumed in moderation.,
