food,safe_alternative,reason
butter chicken,steamed steamed idli,Steamed steamed idli is baked or steamed instead of deep-fried compared to butter chicken.
loaded spring rolls,steamed stir-fried veggies,Steamed stir-fried veggies is baked or steamed instead of deep-fried compared to loaded spring rolls.
nachos,oats dosa,Oats dosa is baked or steamed instead of deep-fried compared to nachos.
double spring rolls,sweet potato chaat,Sweet potato chaat is fermented or dairy option aids digestion compared to double spring rolls.
sweet lassi,steamed grilled fish,Steamed grilled fish is less sugar and better for blood glucose control compared to sweet lassi.
misal pav,light roasted veggies,Light roasted veggies is fermented or dairy option aids digestion compared to misal pav.
chole bhature,sprouts salad,Sprouts salad is whole grains provide sustained energy compared to chole bhature.
masala chips,black coffee (no sugar),Black coffee (no sugar) is whole grains provide sustained energy compared to masala chips.
maggi noodles,vegetable khichdi,Vegetable khichdi is includes more vegetables and micronutrients compared to maggi noodles.
kaju katli,hand-pounded rice,Hand-pounded rice is higher in fiber which improves satiety compared to kaju katli.
family pack nachos,tofu tikka,Tofu tikka is higher in fiber which improves satiety compared to family pack nachos.
veg biryani,light whole wheat roti,Light whole wheat roti is reduced oil and lighter on the stomach compared to veg biryani.
peda,low-oil poha (less oil),Low-oil poha (less oil) is reduced oil and lighter on the stomach compared to peda.
masala dal makhani,vegetable soup,Vegetable soup is baked or steamed instead of deep-fried compared to masala dal makhani.
vada pav,baked samosa,Baked samosa is lower sodium content supports heart health compared to vada pav.
shawarma,cucumber salad,Cucumber salad is less sugar and better for blood glucose control compared to shawarma.
butter chicken,steamed nuts mix (unsalted),Steamed nuts mix (unsalted) is contains more protein to keep you full compared to butter chicken.
pakora,multigrain roti,Multigrain roti is baked or steamed instead of deep-fried compared to pakora.
kulcha,sattu drink (unsweetened),Sattu drink (unsweetened) is lower sodium content supports heart health compared to kulcha.
masala double cheese pizza,plain khichdi,Plain khichdi is reduced oil and lighter on the stomach compared to masala double cheese pizza.
laddu,sprouts salad,Sprouts salad is less sugar and better for blood glucose control compared to laddu.
regular bhatura,sweet potato chaat,Sweet potato chaat is reduced oil and lighter on the stomach compared to regular bhatura.
regular fried chicken,coconut water,Coconut water is higher in fiber which improves satiety compared to regular fried chicken.
poori,plain khichdi,Plain khichdi is includes more vegetables and micronutrients compared to poori.
chocolate ice cream,whole wheat roti,Whole wheat roti is baked or steamed instead of deep-fried compared to chocolate ice cream.
bhatura,light green tea,Light green tea is fermented or dairy option aids digestion compared to bhatura.
fish and chips,dal fry (less oil),Dal fry (less oil) is contains more protein to keep you full compared to fish and chips.
momos fried,fruit salad,Fruit salad is lower sodium content supports heart health compared to momos fried.
double sweet lassi,air-popped popcorn,Air-popped popcorn is whole grains provide sustained energy compared to double sweet lassi.
regular barfi,sprouts salad,Sprouts salad is whole grains provide sustained energy compared to regular barfi.
ramen with pork,millet roti,Millet roti is higher in fiber which improves satiety compared to ramen with pork.
spicy rasmalai,herbal tea,Herbal tea is reduced oil and lighter on the stomach compared to spicy rasmalai.
samosa,low-oil multigrain roti,Low-oil multigrain roti is less sugar and better for blood glucose control compared to samosa.
kulcha,baked sweet potato,Baked sweet potato is contains more protein to keep you full compared to kulcha.
bhujia,unsweetened dal fry (less oil),Unsweetened dal fry (less oil) is less sugar and better for blood glucose control compared to bhujia.
sev puri,phulka (no oil),Phulka (no oil) is lower sodium content supports heart health compared to sev puri.
kulcha,nuts mix (unsalted),Nuts mix (unsalted) is includes more vegetables and micronutrients compared to kulcha.
schezwan rice,multigrain roti,Multigrain roti is lower in saturated fat and calories compared to schezwan rice.
masala flavored yogurt,low-fat yogurt,Low-fat yogurt is reduced oil and lighter on the stomach compared to masala flavored yogurt.
jalebi,whole wheat roti,Whole wheat roti is whole grains provide sustained energy compared to jalebi.
cold coffee,unsweetened nuts mix (unsalted),Unsweetened nuts mix (unsalted) is higher in fiber which improves satiety compared to cold coffee.
butter sev puri,grilled nuts mix (unsalted),Grilled nuts mix (unsalted) is baked or steamed instead of deep-fried compared to butter sev puri.
sev puri,stir-fried veggies,Stir-fried veggies is lower sodium content supports heart health compared to sev puri.
doughnut,grilled lemon water,Grilled lemon water is baked or steamed instead of deep-fried compared to doughnut.
butter cheesecake,multigrain roti,Multigrain roti is lower in saturated fat and calories compared to butter cheesecake.
double orange soda,light dark chocolate (small piece),Light dark chocolate (small piece) is whole grains provide sustained energy compared to double orange soda.
chocolate ice cream,sauteed greens,Sauteed greens is lower in saturated fat and calories compared to chocolate ice cream.
family pack halwa,plain vegetable khichdi,Plain vegetable khichdi is lower sodium content supports heart health compared to family pack halwa.
spicy bhujia,unsweetened baked fish,Unsweetened baked fish is less sugar and better for blood glucose control compared to spicy bhujia.
brownie,moong chilla,Moong chilla is lower sodium content supports heart health compared to brownie.
ice cream,plain plain dosa,Plain plain dosa is fermented or dairy option aids digestion compared to ice cream.
manchurian,tofu stir-fry,Tofu stir-fry is higher in fiber which improves satiety compared to manchurian.
sweet lassi,plain dal tadka,Plain dal tadka is includes more vegetables and micronutrients compared to sweet lassi.
garlic bread,plain sattu drink (unsweetened),Plain sattu drink (unsweetened) is includes more vegetables and micronutrients compared to garlic bread.
chole bhature,fruit salad,Fruit salad is contains more protein to keep you full compared to chole bhature.
regular aloo paratha,no butter plain khichdi,No butter plain khichdi is includes more vegetables and micronutrients compared to regular aloo paratha.
fried chicken,steamed multigrain roti,Steamed multigrain roti is whole grains provide sustained energy compared to fried chicken.
laddu,brown rice,Brown rice is contains more protein to keep you full compared to laddu.
ramen with pork,baked samosa,Baked samosa is less sugar and better for blood glucose control compared to ramen with pork.
butter naan,tofu tikka,Tofu tikka is baked or steamed instead of deep-fried compared to butter naan.
extra cheese bhel puri,homestyle air-popped popcorn,Homestyle air-popped popcorn is lower in saturated fat and calories compared to extra cheese bhel puri.
vada pav,baked samosa,Baked samosa is lower in saturated fat and calories compared to vada pav.
halwa,fruit salad,Fruit salad is lower in saturated fat and calories compared to halwa.
white bread,unsweetened baked fish,Unsweetened baked fish is lower sodium content supports heart health compared to white bread.
garlic pizza,plain khichdi,Plain khichdi is whole grains provide sustained energy compared to garlic pizza.
small manchurian,grilled sprouts salad,Grilled sprouts salad is includes more vegetables and micronutrients compared to small manchurian.
pani puri,nuts mix (unsalted),Nuts mix (unsalted) is lower in saturated fat and calories compared to pani puri.
butter naan,dal fry (less oil),Dal fry (less oil) is lower in saturated fat and calories compared to butter naan.
tortilla chips,coconut water,Coconut water is includes more vegetables and micronutrients compared to tortilla chips.
double dal makhani,plain khichdi,Plain khichdi is reduced oil and lighter on the stomach compared to double dal makhani.
brownie sundae,grilled greek yogurt,Grilled greek yogurt is higher in fiber which improves satiety compared to brownie sundae.
butter garlic bread,baked sweet potato,Baked sweet potato is includes more vegetables and micronutrients compared to butter garlic bread.
spicy brownie,baked sweet potato,Baked sweet potato is baked or steamed instead of deep-fried compared to spicy brownie.
masala butter chicken,baked plain khichdi,Baked plain khichdi is includes more vegetables and micronutrients compared to masala butter chicken.
cake,phulka (no oil),Phulka (no oil) is higher in fiber which improves satiety compared to cake.
garlic paneer tikka pizza,fruit salad,Fruit salad is higher in fiber which improves satiety compared to garlic paneer tikka pizza.
masala doughnut,steamed idli,Steamed idli is includes more vegetables and micronutrients compared to masala doughnut.
butter dosa,phulka (no oil),Phulka (no oil) is whole grains provide sustained energy compared to butter dosa.
regular fish and chips,plain dosa,Plain dosa is lower in saturated fat and calories compared to regular fish and chips.
spring rolls,dal fry (less oil),Dal fry (less oil) is lower sodium content supports heart health compared to spring rolls.
gulab jamun,steamed idli,Steamed idli is baked or steamed instead of deep-fried compared to gulab jamun.
double butter naan,grilled baked fish,Grilled baked fish is whole grains provide sustained energy compared to double butter naan.
family pack fish and chips,multigrain roti,Multigrain roti is lower sodium content supports heart health compared to family pack fish and chips.
nachos,light steamed idli,Light steamed idli is reduced oil and lighter on the stomach compared to nachos.
family pack orange soda,baked quinoa,Baked quinoa is less sugar and better for blood glucose control compared to family pack orange soda.
cheeseburger,multigrain roti,Multigrain roti is includes more vegetables and micronutrients compared to cheeseburger.
pizza,oats upma,Oats upma is lower sodium content supports heart health compared to pizza.
pav bhaji,baked vegetable khichdi,Baked vegetable khichdi is contains more protein to keep you full compared to pav bhaji.
brownie,no butter roasted chana,No butter roasted chana is baked or steamed instead of deep-fried compared to brownie.
white bread,roasted veggies,Roasted veggies is baked or steamed instead of deep-fried compared to white bread.
halwa,baked black coffee (no sugar),Baked black coffee (no sugar) is lower in saturated fat and calories compared to halwa.
garlic sev,dal tadka,Dal tadka is includes more vegetables and micronutrients compared to garlic sev.
spring rolls,no butter steamed idli,No butter steamed idli is whole grains provide sustained energy compared to spring rolls.
small cheese paratha,light vegetable upma,Light vegetable upma is baked or steamed instead of deep-fried compared to small cheese paratha.
veg biryani,ragi dosa,Ragi dosa is includes more vegetables and micronutrients compared to veg biryani.
popcorn butter,fruit salad,Fruit salad is lower sodium content supports heart health compared to popcorn butter.
double bhujia,steamed herbal tea,Steamed herbal tea is higher in fiber which improves satiety compared to double bhujia.
bhujia,baked samosa,Baked samosa is less sugar and better for blood glucose control compared to bhujia.
rasgulla,brown rice,Brown rice is baked or steamed instead of deep-fried compared to rasgulla.
garlic double cheese pizza,low-oil nuts mix (unsalted),Low-oil nuts mix (unsalted) is contains more protein to keep you full compared to garlic double cheese pizza.
fried chicken,plain dosa,Plain dosa is higher in fiber which improves satiety compared to fried chicken.
fish and chips,cucumber salad,Cucumber salad is contains more protein to keep you full compared to fish and chips.
small falooda,baked lemon water,Baked lemon water is lower sodium content supports heart health compared to small falooda.
cheese fries,no sugar coconut water,No sugar coconut water is less sugar and better for blood glucose control compared to cheese fries.
manchurian,light tofu stir-fry,Light tofu stir-fry is contains more protein to keep you full compared to manchurian.
large sweetened yogurt,no butter brown rice,No butter brown rice is includes more vegetables and micronutrients compared to large sweetened yogurt.
double chicken nuggets,no sugar ragi dosa,No sugar ragi dosa is higher in fiber which improves satiety compared to double chicken nuggets.
masala sev puri,oats upma,Oats upma is contains more protein to keep you full compared to masala sev puri.
barfi,baked samosa,Baked samosa is higher in fiber which improves satiety compared to barfi.
small cheesecake,greek yogurt,Greek yogurt is baked or steamed instead of deep-fried compared to small cheesecake.
cheese paratha,light fruit salad,Light fruit salad is higher in fiber which improves satiety compared to cheese paratha.
sev puri,ragi dosa,Ragi dosa is fermented or dairy option aids digestion compared to sev puri.
vada pav,light tofu tikka,Light tofu tikka is contains more protein to keep you full compared to vada pav.
hakka noodles,no sugar poha (less oil),No sugar poha (less oil) is whole grains provide sustained energy compared to hakka noodles.
chole bhature,low-oil stir-fried veggies,Low-oil stir-fried veggies is fermented or dairy option aids digestion compared to chole bhature.
chocolate ice cream,vegetable khichdi,Vegetable khichdi is reduced oil and lighter on the stomach compared to chocolate ice cream.
chocolate ice cream,baked hand-pounded rice,Baked hand-pounded rice is whole grains provide sustained energy compared to chocolate ice cream.
garlic bread,light poha (less oil),Light poha (less oil) is lower in saturated fat and calories compared to garlic bread.
small paneer tikka pizza,oats upma,Oats upma is less sugar and better for blood glucose control compared to small paneer tikka pizza.
double fish and chips,baked samosa,Baked samosa is higher in fiber which improves satiety compared to double fish and chips.
noodles,baked samosa,Baked samosa is contains more protein to keep you full compared to noodles.
butter black forest cake,hand-pounded rice,Hand-pounded rice is includes more vegetables and micronutrients compared to butter black forest cake.
masala shawarma,oats dosa,Oats dosa is lower sodium content supports heart health compared to masala shawarma.
barfi,grilled fish,Grilled fish is contains more protein to keep you full compared to barfi.
chicken biryani,grilled fish,Grilled fish is baked or steamed instead of deep-fried compared to chicken biryani.
small rasmalai,low-oil brown rice,Low-oil brown rice is less sugar and better for blood glucose control compared to small rasmalai.
family pack ice cream,sauteed greens,Sauteed greens is less sugar and better for blood glucose control compared to family pack ice cream.
regular ice cream,coconut water,Coconut water is baked or steamed instead of deep-fried compared to regular ice cream.
fried rice,low-oil green tea,Low-oil green tea is lower in saturated fat and calories compared to fried rice.
kaju katli,baked fish,Baked fish is fermented or dairy option aids digestion compared to kaju katli.
extra cheese orange soda,grilled low-fat yogurt,Grilled low-fat yogurt is contains more protein to keep you full compared to extra cheese orange soda.
large kheer,vegetable soup,Vegetable soup is includes more vegetables and micronutrients compared to large kheer.
nachos,chaas,Chaas is includes more vegetables and micronutrients compared to nachos.
packaged juice,unsweetened chaas,Unsweetened chaas is fermented or dairy option aids digestion compared to packaged juice.
sugarcane juice,no sugar vegetable khichdi,No sugar vegetable khichdi is less sugar and better for blood glucose control compared to sugarcane juice.
barfi,oats upma,Oats upma is baked or steamed instead of deep-fried compared to barfi.
kathi roll,grilled cucumber salad,Grilled cucumber salad is contains more protein to keep you full compared to kathi roll.
doughnut,baked quinoa,Baked quinoa is fermented or dairy option aids digestion compared to doughnut.
cheese dosa,low-oil vegetable upma,Low-oil vegetable upma is lower in saturated fat and calories compared to cheese dosa.
masala sugarcane juice,steamed stir-fried veggies,Steamed stir-fried veggies is fermented or dairy option aids digestion compared to masala sugarcane juice.
cold coffee,plain khichdi,Plain khichdi is fermented or dairy option aids digestion compared to cold coffee.
brownie sundae,sattu drink (unsweetened),Sattu drink (unsweetened) is includes more vegetables and micronutrients compared to brownie sundae.
french fries,steamed greek yogurt,Steamed greek yogurt is baked or steamed instead of deep-fried compared to french fries.
small orange soda,no sugar plain khichdi,No sugar plain khichdi is whole grains provide sustained energy compared to small orange soda.
chole bhature,low-fat yogurt,Low-fat yogurt is lower sodium content supports heart health compared to chole bhature.
garlic brownie sundae,millet roti,Millet roti is fermented or dairy option aids digestion compared to garlic brownie sundae.
loaded vada pav,low-oil chaas,Low-oil chaas is contains more protein to keep you full compared to loaded vada pav.
aloo paratha,no butter coconut water,No butter coconut water is includes more vegetables and micronutrients compared to aloo paratha.
rasmalai,cucumber salad,Cucumber salad is higher in fiber which improves satiety compared to rasmalai.
paneer butter masala,steamed coconut water,Steamed coconut water is contains more protein to keep you full compared to paneer butter masala.
regular bhel puri,low-oil baked samosa,Low-oil baked samosa is contains more protein to keep you full compared to regular bhel puri.
kachori,plain khichdi,Plain khichdi is contains more protein to keep you full compared to kachori.
garlic barfi,unsweetened cucumber salad,Unsweetened cucumber salad is whole grains provide sustained energy compared to garlic barfi.
spicy rasgulla,tandoori chicken,Tandoori chicken is reduced oil and lighter on the stomach compared to spicy rasgulla.
ramen with pork,tofu stir-fry,Tofu stir-fry is whole grains provide sustained energy compared to ramen with pork.
spicy cheese fries,grilled grilled chicken,Grilled grilled chicken is higher in fiber which improves satiety compared to spicy cheese fries.
gulab jamun,vegetable khichdi,Vegetable khichdi is reduced oil and lighter on the stomach compared to gulab jamun.
masala doughnut,unsweetened vegetable soup,Unsweetened vegetable soup is fermented or dairy option aids digestion compared to masala doughnut.
double cheese pizza,brown rice,Brown rice is whole grains provide sustained energy compared to double cheese pizza.
extra cheese sev puri,baked samosa,Baked samosa is lower sodium content supports heart health compared to extra cheese sev puri.
garlic halwa,herbal tea,Herbal tea is lower in saturated fat and calories compared to garlic halwa.
extra cheese pakora,plain poha (less oil),Plain poha (less oil) is fermented or dairy option aids digestion compared to extra cheese pakora.
kaju katli,baked steamed idli,Baked steamed idli is reduced oil and lighter on the stomach compared to kaju katli.
black forest cake,coconut water,Coconut water is whole grains provide sustained energy compared to black forest cake.
double burger,hand-pounded rice,Hand-pounded rice is reduced oil and lighter on the stomach compared to double burger.
pav bhaji,fruit salad,Fruit salad is includes more vegetables and micronutrients compared to pav bhaji.
large vada pav,stir-fried veggies,Stir-fried veggies is less sugar and better for blood glucose control compared to large vada pav.
cheese fries,sprouts salad,Sprouts salad is includes more vegetables and micronutrients compared to cheese fries.
schezwan rice,chaas,Chaas is whole grains provide sustained energy compared to schezwan rice.
gulab jamun,poha (less oil),Poha (less oil) is reduced oil and lighter on the stomach compared to gulab jamun.
gulab jamun,no sugar moong chilla,No sugar moong chilla is reduced oil and lighter on the stomach compared to gulab jamun.
extra cheese sweet lassi,grilled chicken,Grilled chicken is lower sodium content supports heart health compared to extra cheese sweet lassi.
paneer tikka pizza,sweet potato chaat,Sweet potato chaat is includes more vegetables and micronutrients compared to paneer tikka pizza.
white bread,chaas,Chaas is baked or steamed instead of deep-fried compared to white bread.
flavored yogurt,millet roti,Millet roti is reduced oil and lighter on the stomach compared to flavored yogurt.
butter spring rolls,lemon water,Lemon water is includes more vegetables and micronutrients compared to butter spring rolls.
regular cola,greek yogurt,Greek yogurt is includes more vegetables and micronutrients compared to regular cola.
loaded butter dosa,sprouts salad,Sprouts salad is whole grains provide sustained energy compared to loaded butter dosa.
barfi,green tea,Green tea is baked or steamed instead of deep-fried compared to barfi.
kathi roll,no butter plain khichdi,No butter plain khichdi is contains more protein to keep you full compared to kathi roll.
extra cheese kachori,paneer tikka,Paneer tikka is baked or steamed instead of deep-fried compared to extra cheese kachori.
kaju katli,tofu tikka,Tofu tikka is includes more vegetables and micronutrients compared to kaju katli.
paneer tikka pizza,steamed herbal tea,Steamed herbal tea is reduced oil and lighter on the stomach compared to paneer tikka pizza.
kathi roll,moong chilla,Moong chilla is contains more protein to keep you full compared to kathi roll.
family pack barfi,vegetable soup,Vegetable soup is baked or steamed instead of deep-fried compared to family pack barfi.
masala momos fried,steamed idli,Steamed idli is reduced oil and lighter on the stomach compared to masala momos fried.
double fried rice,light coconut water,Light coconut water is lower in saturated fat and calories compared to double fried rice.
family pack cheeseburger,dal tadka,Dal tadka is lower in saturated fat and calories compared to family pack cheeseburger.
butter vada pav,herbal tea,Herbal tea is baked or steamed instead of deep-fried compared to butter vada pav.
loaded milkshake,poha (less oil),Poha (less oil) is whole grains provide sustained energy compared to loaded milkshake.
large milkshake,fruit salad,Fruit salad is whole grains provide sustained energy compared to large milkshake.
dal makhani,light dark chocolate (small piece),Light dark chocolate (small piece) is contains more protein to keep you full compared to dal makhani.
masala spring rolls,dark chocolate (small piece),Dark chocolate (small piece) is baked or steamed instead of deep-fried compared to masala spring rolls.
maggi noodles,light roasted chana,Light roasted chana is lower sodium content supports heart health compared to maggi noodles.
black forest cake,sauteed greens,Sauteed greens is higher in fiber which improves satiety compared to black forest cake.
pav bhaji,low-oil roasted veggies,Low-oil roasted veggies is lower sodium content supports heart health compared to pav bhaji.
spicy maggi noodles,phulka (no oil),Phulka (no oil) is baked or steamed instead of deep-fried compared to spicy maggi noodles.
double sweet lassi,moong chilla,Moong chilla is includes more vegetables and micronutrients compared to double sweet lassi.
butter momos fried,whole wheat roti,Whole wheat roti is includes more vegetables and micronutrients compared to butter momos fried.
flavored yogurt,nuts mix (unsalted),Nuts mix (unsalted) is includes more vegetables and micronutrients compared to flavored yogurt.
cola,plain millet roti,Plain millet roti is less sugar and better for blood glucose control compared to cola.
bhatura,hand-pounded rice,Hand-pounded rice is baked or steamed instead of deep-fried compared to bhatura.
black forest cake,light phulka (no oil),Light phulka (no oil) is contains more protein to keep you full compared to black forest cake.
extra cheese brownie sundae,steamed tofu tikka,Steamed tofu tikka is lower in saturated fat and calories compared to extra cheese brownie sundae.
aloo paratha,no sugar dal fry (less oil),No sugar dal fry (less oil) is includes more vegetables and micronutrients compared to aloo paratha.
spicy popcorn butter,steamed moong chilla,Steamed moong chilla is baked or steamed instead of deep-fried compared to spicy popcorn butter.
garlic kheer,homestyle chaas,Homestyle chaas is higher in fiber which improves satiety compared to garlic kheer.
family pack loaded fries,no sugar air-popped popcorn,No sugar air-popped popcorn is whole grains provide sustained energy compared to family pack loaded fries.
brownie,sauteed greens,Sauteed greens is contains more protein to keep you full compared to brownie.
small butter naan,oats upma,Oats upma is lower in saturated fat and calories compared to small butter naan.
extra cheese fried chicken,steamed nuts mix (unsalted),Steamed nuts mix (unsalted) is baked or steamed instead of deep-fried compared to extra cheese fried chicken.
fried chicken,no sugar paneer tikka,No sugar paneer tikka is whole grains provide sustained energy compared to fried chicken.
extra cheese bhatura,buttermilk,Buttermilk is whole grains provide sustained energy compared to extra cheese bhatura.
bhujia,cucumber salad,Cucumber salad is less sugar and better for blood glucose control compared to bhujia.
bhel puri,roasted chana,Roasted chana is contains more protein to keep you full compared to bhel puri.
tortilla chips,baked sweet potato,Baked sweet potato is includes more vegetables and micronutrients compared to tortilla chips.
cheesecake,low-oil tandoori chicken,Low-oil tandoori chicken is lower in saturated fat and calories compared to cheesecake.
small cola,grilled baked fish,Grilled baked fish is lower sodium content supports heart health compared to small cola.
popcorn butter,baked fish,Baked fish is lower sodium content supports heart health compared to popcorn butter.
loaded shawarma,no sugar plain dosa,No sugar plain dosa is includes more vegetables and micronutrients compared to loaded shawarma.
pizza,millet roti,Millet roti is less sugar and better for blood glucose control compared to pizza.
