medicine,use,side_effect,condition,age_grp,risk_level,food_allergies,allergens_medicine,food_name,ingredients,main_ingredient,allergens,alternative_food
phenytoin,anti-seizure,diarrhea,Hypertension,Child,safe,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
gliclazide,treatment of diabetes,stomach pain,Hypertension,Senior,safe,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
bupropion,anti-depressant,vomiting,Flu,Adult,safe,wheat,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
phenytoin,anti-seizure,diarrhea,Fever,Child,cautious,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
phenytoin,anti-seizure,diarrhea,Flu,Child,safe,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
gliclazide,treatment of diabetes,stomach pain,Hypertension,Senior,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
metronidazole,antibiotic,headache,Cold,Senior,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
dabigatran,blood thinner,nausea,Hypertension,Senior,cautious,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
bupropion,anti-depressant,vomiting,Asthma,Child,cautious,wheat,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
dabigatran,blood thinner,nausea,Flu,Child,cautious,peanuts,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
pravastatin,cholesterol control,dizziness,Cold,Senior,safe,eggs,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
gliclazide,treatment of diabetes,stomach pain,Flu,Adult,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Flu,Child,safe,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
dabigatran,blood thinner,nausea,Flu,Senior,cautious,peanuts,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
pravastatin,cholesterol control,dizziness,Hypertension,Adult,dangerous,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
gliclazide,treatment of diabetes,stomach pain,Fever,Adult,cautious,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
dabigatran,blood thinner,nausea,Hypertension,Adult,dangerous,peanuts,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
metronidazole,antibiotic,headache,Asthma,Adult,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
dabigatran,blood thinner,nausea,Flu,Senior,cautious,peanuts,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Fever,Adult,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
fexofenadine,anti-allergy,fatigue,Hypertension,Senior,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
metronidazole,antibiotic,headache,Asthma,Adult,dangerous,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
magnesium supplements,treatment of kidney stone,tiredness,Hypertension,Senior,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Fever,Child,dangerous,eggs,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
fexofenadine,anti-allergy,fatigue,Cold,Child,dangerous,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
fexofenadine,anti-allergy,fatigue,Asthma,Child,cautious,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
bupropion,anti-depressant,vomiting,Hypertension,Child,safe,wheat,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
dabigatran,blood thinner,nausea,Hypertension,Adult,dangerous,peanuts,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Cold,Child,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
bupropion,anti-depressant,vomiting,Flu,Adult,dangerous,wheat,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
dabigatran,blood thinner,nausea,Hypertension,Adult,safe,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
fexofenadine,anti-allergy,fatigue,Asthma,Senior,safe,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Adult,cautious,eggs,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Child,safe,eggs,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
metronidazole,antibiotic,headache,Hypertension,Senior,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
phenytoin,anti-seizure,diarrhea,Flu,Adult,dangerous,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
phenytoin,anti-seizure,diarrhea,Asthma,Senior,dangerous,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
gliclazide,treatment of diabetes,stomach pain,Asthma,Adult,dangerous,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
metronidazole,antibiotic,headache,Asthma,Senior,cautious,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
gliclazide,treatment of diabetes,stomach pain,Cold,Senior,dangerous,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Fever,Child,cautious,eggs,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
nitrofurantoin,urinary antiseptic,rashes,Asthma,Adult,safe,sesame,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
fexofenadine,anti-allergy,fatigue,Fever,Senior,dangerous,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
bupropion,anti-depressant,vomiting,Flu,Child,dangerous,wheat,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
fexofenadine,anti-allergy,fatigue,Flu,Adult,dangerous,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Hypertension,Adult,cautious,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Flu,Senior,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
metronidazole,antibiotic,headache,Asthma,Child,cautious,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
magnesium supplements,treatment of kidney stone,tiredness,Hypertension,Adult,dangerous,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
dabigatran,blood thinner,nausea,Flu,Adult,cautious,peanuts,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
metronidazole,antibiotic,headache,Hypertension,Adult,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
gliclazide,treatment of diabetes,stomach pain,Fever,Senior,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
bupropion,anti-depressant,vomiting,Flu,Adult,cautious,wheat,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
bupropion,anti-depressant,vomiting,Flu,Adult,safe,wheat,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
phenytoin,anti-seizure,diarrhea,Flu,Senior,cautious,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
phenytoin,anti-seizure,diarrhea,Hypertension,Adult,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Cold,Child,safe,sesame,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Cold,Child,dangerous,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
dabigatran,blood thinner,nausea,Cold,Adult,dangerous,peanuts,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Hypertension,Adult,safe,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
phenytoin,anti-seizure,diarrhea,Asthma,Child,safe,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
dabigatran,blood thinner,nausea,Cold,Child,safe,peanuts,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
nitrofurantoin,urinary antiseptic,rashes,Asthma,Senior,dangerous,sesame,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
nitrofurantoin,urinary antiseptic,rashes,Cold,Senior,dangerous,sesame,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
fexofenadine,anti-allergy,fatigue,Flu,Senior,cautious,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
nitrofurantoin,urinary antiseptic,rashes,Flu,Adult,safe,sesame,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
fexofenadine,anti-allergy,fatigue,Asthma,Senior,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
phenytoin,anti-seizure,diarrhea,Hypertension,Senior,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
magnesium supplements,treatment of kidney stone,tiredness,Fever,Adult,dangerous,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
dabigatran,blood thinner,nausea,Flu,Senior,cautious,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Fever,Child,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
magnesium supplements,treatment of kidney stone,tiredness,Cold,Senior,dangerous,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
nitrofurantoin,urinary antiseptic,rashes,Cold,Senior,cautious,sesame,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
bupropion,anti-depressant,vomiting,Hypertension,Adult,safe,wheat,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
metronidazole,antibiotic,headache,Cold,Adult,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Flu,Child,cautious,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
nitrofurantoin,urinary antiseptic,rashes,Fever,Child,safe,sesame,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Senior,dangerous,sesame,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
gliclazide,treatment of diabetes,stomach pain,Flu,Senior,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Asthma,Adult,dangerous,sesame,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
fexofenadine,anti-allergy,fatigue,Asthma,Child,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
metronidazole,antibiotic,headache,Flu,Child,dangerous,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
dabigatran,blood thinner,nausea,Asthma,Child,dangerous,peanuts,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
fexofenadine,anti-allergy,fatigue,Flu,Adult,cautious,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
phenytoin,anti-seizure,diarrhea,Flu,Senior,cautious,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Cold,Child,dangerous,eggs,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
nitrofurantoin,urinary antiseptic,rashes,Cold,Child,cautious,sesame,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
pravastatin,cholesterol control,dizziness,Asthma,Child,safe,eggs,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
bupropion,anti-depressant,vomiting,Asthma,Senior,dangerous,wheat,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
gliclazide,treatment of diabetes,stomach pain,Asthma,Senior,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Cold,Child,dangerous,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
dabigatran,blood thinner,nausea,Flu,Child,cautious,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
gliclazide,treatment of diabetes,stomach pain,Flu,Senior,cautious,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
dabigatran,blood thinner,nausea,Cold,Child,dangerous,peanuts,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
metronidazole,antibiotic,headache,Hypertension,Child,cautious,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
gliclazide,treatment of diabetes,stomach pain,Flu,Child,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Cold,Adult,dangerous,sesame,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
fexofenadine,anti-allergy,fatigue,Cold,Senior,safe,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Hypertension,Senior,cautious,eggs,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
magnesium supplements,treatment of kidney stone,tiredness,Flu,Senior,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
bupropion,anti-depressant,vomiting,Hypertension,Adult,cautious,wheat,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
pravastatin,cholesterol control,dizziness,Asthma,Senior,cautious,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
dabigatran,blood thinner,nausea,Hypertension,Child,safe,peanuts,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
gliclazide,treatment of diabetes,stomach pain,Asthma,Child,dangerous,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
magnesium supplements,treatment of kidney stone,tiredness,Flu,Child,safe,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
dabigatran,blood thinner,nausea,Fever,Senior,dangerous,peanuts,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
metronidazole,antibiotic,headache,Hypertension,Senior,safe,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
fexofenadine,anti-allergy,fatigue,Asthma,Child,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
bupropion,anti-depressant,vomiting,Cold,Senior,safe,wheat,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
metronidazole,antibiotic,headache,Hypertension,Child,cautious,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
dabigatran,blood thinner,nausea,Asthma,Senior,cautious,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
fexofenadine,anti-allergy,fatigue,Asthma,Child,cautious,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
metronidazole,antibiotic,headache,Cold,Adult,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
pravastatin,cholesterol control,dizziness,Fever,Adult,dangerous,eggs,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
