condition,food,warning,explanation
inflammation,mediet,safe,"several clinical, epidemiological and experimental evidences suggest that consumption of the mediet reduces the incidence of certain pathologies related to oxidative stress, chronic inflammation and immune system diseases such as cancer, atherosclerosis and cardiovascular disease (cvd)."
vomiting,oryza sativa,safe,"oryza sativa l. is consumed globally as a staple food, and its roots have been used as a korean and chinese medical supplement for protection of the stomach and lungs and for amelioration of vomiting and fever."
hypertension,beet greens/collards/cress/romaine/greens/spinach,safe,beet greens/collards/cress/romaine/greens/spinach may support balanced diet for hypertension.
prediabetes,macaroni/noodle/pasta/rice,safe,macaroni/noodle/pasta/rice may support balanced diet for prediabetes.
prediabetes,stew (meat/rice/vegetable),can worsen,stew (meat/rice/vegetable) with serving size 140.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,pork,dangerous,pork is high in fat/sugar and may worsen hypertension.
chronic diseases,oats,safe,oats products are believed to contain many bioactives that possess potential beneficial properties against chronic diseases.
cardiovascular disease,malnutrition,dangerous,"malnutrition is a condition most commonly arising from the inadequate consumption of nutrients necessary to maintain physiological health and is associated with the development of cardiovascular disease, osteoporosis, and sarcopenia."
hypertension,cereal,safe,cereal may support balanced diet for hypertension.
hypertension,fruit and vegetable smoothie,can worsen,fruit and vegetable smoothie with serving size 233.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
knee osteoarthritis,milk consumption,safe,observational studies showed inverse associations between milk consumption and knee osteoarthritis (knee oa).
coeliac disease,wheat,dangerous,"wheat is one of the major crops grown, processed and consumed by humankind and is associated with both intolerances (notably coeliac disease) and allergies."
cancers,allium,safe,many epidemiological studies support the protective role of garlic and related allium foods against the development of certain human cancers.
prediabetes,carrots/pumpkin/squash/sweet potato/,can worsen,carrots/pumpkin/squash/sweet potato/ with serving size 72.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
alzheimer's disease,coffee,safe,several epidemiological and preclinical studies supported the protective effect of coffee on alzheimer's disease (ad).
gut dysbiosis,fermented foods,safe,"regular consumption of fermented foods (e.g., kimchi, kefir, etc.) may represent a potential avenue to counter the proinflammatory effects of gut dysbiosis."
hypertension,cream,can worsen,cream with serving size 32.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
ischemic heart disease,fish,safe,"the low mortality rates from ischemic heart disease and cancer are thought to reflect the low prevalence of obesity in japan; low intake of red meat, specifically saturated fatty acids; and high intakes of fish, specifically n-3 polyunsaturated fatty acids, plant foods such as soybeans, and nonsugar-sweetened beverages such as green tea."
inflammatory diseases,taraxacum officinale,safe,"taraxacum officinale (l.), commonly called dandelion has been used for centuries as a natural medicine to treat inflammatory diseases including some metabolic alterations associated with obesity."
hypertension,beef,dangerous,beef is high in fat/sugar and may worsen hypertension.
anaemia,iron rich foods,safe,"improving overall household living conditions, increasing maternal education, delaying childbearing and introducing iron rich foods at six months of age may reduce the likelihood of anaemia in toddlerhood."
prediabetes,dried fruit,can worsen,dried fruit with serving size 28.4g recorded in nhanes dietary data for hypertension and prediabetes patients.
asthmatic reactions,flour,dangerous,"bronchial provocation tests by ""occupational"" exposure to flour provoked dual asthmatic reactions accompanied by rhinitis in two atopic bakers engaged in the manufacture of bread and pies."
hyperglycemia,honeybush tea,safe,these results imply that the sequential extracts of honeybush tea (particularly the aqueous and ethyl acetate extracts) may not only exhibit antioxidant potentials but also mediate anti-hyperglycemia activities by inhibiting lipid and carbohydrate digestion.
degenerative diseases,fruits,safe,"several studies have shown that a high consumption of vegetables and fruits is consistently associated with a low risk of oxidative stress-induced diseases, which includes some degenerative diseases such as amyotrophic lateral sclerosis, alzheimer and parkinson."
myocardial infarction,traditional italian diet,safe,"between 1935 and 1965, the italian-american inhabitants of roseto (pennsylvania, usa) observed a traditional italian diet and maintained half the mortality rates from myocardial infarction compared with neighboring cities."
colon neoplastic lesions,garlic,safe,diallyl disulfide (dads) is a major organosulphur compound present in garlic with an anti-mitotic potential against colon neoplastic lesions in vivo and colon tumour cell growth in vitro.
allergy,rice,dangerous,"in rice allergy, proteins with molecular masses of 14-16, 26, 33, and 56 kda have been demonstrated to be potentially allergenic."
prediabetes,seeds,safe,seeds may support balanced diet for prediabetes.
cardiovascular mortality,glycemic load (gl) diet,dangerous,recent epidemiologic studies have found that a high glycemic index (gi) and glycemic load (gl) diet are associated with a higher risk for metabolic complications and cardiovascular mortality.
nephrolithiasis,fruits,safe,"dietary approaches to stop hypertension (dash), a low-sodium and fruits/vegetables-rich diet, has been associated with a lower risk of nephrolithiasis, due to altered urinary biochemistry."
pain,raspberries,safe,"in this context, commonly available fruits, such as blueberries, raspberries and strawberries, and pomegranates have shown promising results in reducing pain and inflammation in experimental models and in human clinical studies of arthritis."
hypertension,egg,can worsen,egg with serving size 50.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
ad,beer,safe,"high levels of consumption (>92 times/month) of fermented foods such as doenjang, chungkookjang, kimchi, fermented seafood, makgeolli, and beer were associated with a lower prevalence of ad (or, 0.56; 95% confidence interval [ci], 0.37-0.84)."
rhythm disorders,added salt,dangerous,"saturated fat, added salt, and excessive energy drink consumption appear to be harmful for patients with rhythm disorders."
ad,peanut oil,safe,"some bath oils and skin creams used for treating ad contain peanut oil, and it has been suggested that exposure to peanut allergens through a disrupted skin barrier is a potential cause of pa."
alzheimer's disease,lemon,safe,"therefore, this study presents the neuroprotective potentials of lemon and tangerine peels-derived eos, and the possibility of their exploration as neuroactive agents and alternative in the management of alzheimer's disease (ad)."
hypertension,beef,can worsen,beef with serving size 65.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
anaphylaxis,peanut,dangerous,peanut allergy affects 3% of australian children and has a higher risk of anaphylaxis than most food allergies.
stroke,olive oil,safe,"a cretan mediterranean diet, high in olive oil, whole grains, fruits, vegetables and legumes, and low in cholesterol and saturated fat, can reduce stroke by 40% or more in high-risk patients."
hypertension,chicken/turkey,safe,chicken/turkey may support balanced diet for hypertension.
skin inflammation,star anise,safe,"f. (star anise) has been used in traditional medicine for treatment of skin inflammation, rheumatism, asthma, and bronchitis."
cardiovascular diseases,fruit,safe,fruit and vegetable intake has been reported as one of the significant protective factors against the development of cardiovascular diseases (cvd).
dermatitis,onion,dangerous,"onion (allium cepa) handling can induce contact dermatitis, rhinoconjunctivitis and asthma."
prediabetes,milk,can worsen,milk with serving size 244.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,tomato/salsa/,safe,tomato/salsa/ may support balanced diet for hypertension.
prediabetes,burrito/taco/enchilada/pizza/lasanga,safe,burrito/taco/enchilada/pizza/lasanga may support balanced diet for prediabetes.
cancer,allium,safe,"allium vegetables have been shown to have beneficial effects against several diseases, including cancer."
liver cirrhosis,milk thistle extracts,safe,"milk thistle extracts have been used as medicinal herbs in the treatment of liver cirrhosis, chronic hepatitis (liver inflammation), and gallbladder disorders."
diabetes,breadfruit,safe,breadfruit is a traditional staple crop from pacific islands with the potential to improve worldwide food security and mitigate diabetes.
asthma,garlic,dangerous,"twenty-three positive bronchial or nasal challenges were performed on 16 patients (six farmers, six bakery workers, and four food industry workers) and asthma or rhinitis was diagnosed as caused by cereal flour or grain, cow epithelium, storage mites, garlic, or soy dust."
low-grade inflammation,diet,safe,"low-grade inflammation is a suggested mechanism in the development of metabolic syndrome (mets), and diet could act as a regulator."
obesity,ginger,safe,ginger exerts protective effects on obesity and its complications.
neurodegenerative disorders,extra virgin olive oil,safe,"in the central nervous system (cns), extra virgin olive oil (evoo) produces interesting effects against neurodegenerative disorders including alzheimer's disease (ad)."
flagellate dermatitis,shiitake mushrooms,dangerous,flagellate dermatitis caused by the intake of shiitake mushrooms is characterized by linear erythematous lesions that are intensely pruritic.
human ailments,ginger,safe,"besides its food-additive functions, ginger has a long history of medicinal use for the treatment of a variety of human ailments including common colds, fever, rheumatic disorders, gastrointestinal complications, motion sickness, diabetes, cancer, etc."
type 2 diabetes mellitus,healthy diets,safe,it is hypothesized that decreased advanced glycation end products (ages) levels could affect type 2 diabetes mellitus (t2dm) remission in newly diagnosed patients through the consumption of two healthy diets.
hypertension,shakes/drink mixes,safe,shakes/drink mixes may support balanced diet for hypertension.
respiratory tract infections,lemon,safe,"natural products like ginger, turmeric, garlic, onion, cinnamon, lemon, neem, basil, and black pepper have been scientifically proven to have therapeutic benefits against acute respiratory tract infections including pulmonary fibrosis, diffuse alveolar damage, pneumonia, and acute respiratory distress syndrome, as well as associated septic shock, lung and kidney injury, all of which are symptoms associated with covid-19 infection."
anemia deficiency,glycine max,safe,"glycine max is commonly used in algeria for treatment of anemia deficiency and osteoporosis, it ranks first in terms of vegetal proteins."
hypertension,butter,can worsen,butter with serving size 14.2g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,egg,can worsen,egg with serving size 50.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
cerebrovascular disease,salt,dangerous,"the decreasing mortality rates from cerebrovascular disease are thought to reflect the increases in animal foods, milk, and dairy products and consequently in saturated fatty acids and calcium, together with a decrease in salt intake which may have led to a decrease in blood pressure."
hypertension,ice cream,dangerous,ice cream is high in fat/sugar and may worsen hypertension.
chills,capsinoids from nonpungent chili pepper,safe,"capsinoids from nonpungent chili pepper cultivar have been reported to reduce body fat mass, promote metabolism, and improve unidentified complaints of chills."
tumour,docosahexaenoic acid,safe,docosahexaenoic acid (dha) has been shown to reduce tumour growth in preclinical models when combined with chemotherapy and is known to beneficially modulate systemic immune function.
allergies,fruits,dangerous,"recently, the prevalence of food allergies during childhood is increasing, with fruits being common allergens."
hypertension,cream,dangerous,cream is high in fat/sugar and may worsen hypertension.
colon cancer,garlic,safe,"the results indicate that grape, soybean, green tea, garlic, olive, and pomegranate are the most effective plants against colon cancer."
inflammation,olea europaea,safe,bioactive extracts from olea europaea have anti-inflammatory activity and have been shown to reduce systemic inflammation in other animal models.
hypertension,beet greens/collards/cress/romaine/greens/spinach,can worsen,beet greens/collards/cress/romaine/greens/spinach with serving size 38.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
cardiovascular disease,fruit,safe,fruit and vegetable intake has been associated with a reduced risk of cardiovascular disease.
coronary disease,cereal,safe,"the soluble dietary fiber (1-3)(1-4) mixed linked ãâãâãâãâ²-d-glucan from cereal grains is a valuable component of a healthy diet, which reduces risks of coronary disease and diabetes."
stroke,mediterranean diet,safe,the mediterranean diet (md) has been shown to lower stroke risk.
allergy,peanut,dangerous,"peanut allergy that affects 1.4-4.5% of north american children, has increased in prevalence in the past 20 years, is often diagnosed early in life, and outgrown in fewer than 20-32% of children by age 6."
cardiovascular disease,olive oil,safe,"a mediterranean diet supplemented with olive oil and nuts prevents cardiovascular disease in clinical studies, but the underlying mechanisms are incompletely understood."
prediabetes,fruit and vegetable smoothie,safe,fruit and vegetable smoothie is nutritious and may help manage prediabetes.
intra vascularhaemolytic anaemia,allium sativa ( garlic ),dangerous,"despite the high acceptability of allium sativa (garlic) as a remedy for many diseases as earlier stated by manyresearchers, previous studies have shown that chronic and unregulated consumption of garlic may result to intra vascularhaemolytic anaemia in rats."
hypoglycemic,black rice,dangerous,cyanidin-3-glucoside (c3g) from black rice was reported to have hypoglycemic effects and an anti-osteoporosis effect in diabetic rats.
hypertension,cakes/cookies/pies,safe,cakes/cookies/pies may support balanced diet for hypertension.
chronic diseases,coffee consumption,safe,"coffee consumption has been associated with a significant decrease in the risk of developing chronic diseases such as parkinson disease, diabetes type-2 and several types of cancers (e.g. colon, liver)."
atherosclerosis,red meat,dangerous,"recent evidence has also suggested carnitine from red meat, as a precursor for trimethylamine-n-oxide, which has been shown to cause atherosclerosis, may increase the risk of suffering cvd in experimental animals."
allergic reaction,eggs,dangerous,"eggs and their derived products are common foods that can induce food allergic reaction, especially in children."
hypertension,seeds,safe,seeds may support balanced diet for hypertension.
prediabetes,milk,safe,milk is nutritious and may help manage prediabetes.
allergies,peanut,dangerous,the characteristics of tree nuts (tns) and peanut (pn) allergies vary in different regions of the world.
prediabetes,fish,safe,fish is nutritious and may help manage prediabetes.
diabetes,ginger,safe,recent evidence revealed the potential of ginger for reducing diabetes-induced oxidative stress markers.
prediabetes,biscuits,can worsen,biscuits with serving size 49.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,bread,can worsen,bread with serving size 25.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypoxia,dietary virgin olive oil,safe,recent studies suggest that dietary virgin olive oil reduces hypoxia-reoxygenation injury in rat brain.
musculoskeletal diseases,fruit of lycium chinense (lc),safe,"the fruit of lycium chinense (lc), one of the most popular natural materials, has been used to counter the effects of musculoskeletal diseases in oriental medicine."
prediabetes,crackers,safe,crackers may support balanced diet for prediabetes.
prediabetes,beet greens/collards/cress/romaine/greens/spinach,can worsen,beet greens/collards/cress/romaine/greens/spinach with serving size 38.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
osteopenia,alcoholics,dangerous,osteopenia or osteoporosis occurs frequently in alcoholics and patients with alcoholic fatty liver disease.
neural tube defects,maize,safe,wheat and maize (corn) flour are staple crops consumed widely throughout the world and have been fortified with folic acid in over 80 countries to prevent neural tube defects.
hypertension,macaroni/noodle/pasta/rice,can worsen,macaroni/noodle/pasta/rice with serving size 176.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,butter,can worsen,butter with serving size 14.2g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,ice cream,can worsen,ice cream with serving size 130.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
metabolic disturbances,cocoa polyphenols,safe,cocoa polyphenols exhibit high antioxidant activity and have been proposed as a potential adjuvant for the treatment of metabolic disturbances.
death and disability,salt,dangerous,diets high in salt are a leading risk for death and disability globally.
hypertension,whey protein (wp),safe,"besides their nutritional value, whey protein (wp) peptides are food components retaining important pharmacological properties for controlling hypertension."
asthma,fish oil,safe,"maternal dietary interventions during pregnancy with fish oil and high dose vitamin d have been shown to reduce the incidence of asthma and wheeze in offspring, potentially through microbial effects in pregnancy or early childhood."
hypertension,stew (meat/rice/vegetable),can worsen,stew (meat/rice/vegetable) with serving size 140.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,pancakes/waffles,safe,pancakes/waffles may support balanced diet for prediabetes.
obesity,cinnamon,safe,"other structurally homologous nutraceuticals, derived from red chili, cinnamon, cloves, black pepper, and ginger, also exhibit effects against obesity and insulin resistance."
prediabetes,raw vegetables,safe,raw vegetables is nutritious and may help manage prediabetes.
colon carcinogenesis,garlic,safe,"diallyl disulfide (dads), a sulfur compound derived from garlic, has been shown to have protective effects against colon carcinogenesis in several studies performed in rodent models."
atherosclerosis,nuts,safe,"thus, the inclusion of food sources of dietary antioxidants, such as different kinds of nuts, may improve biomarkers related to oxidative stress, contributing to a possible reduction in atherosclerosis progression."
ad,wine,safe,we also showed that moderate consumption of wine was associated with a lower risk of developing ad.
allergy,milk,dangerous,"although soy is considered a major food allergen (along with milk, egg, peanut, fish, and wheat), the prevalence of soy allergy in the pediatric population is not well defined."
diabetes,flour,dangerous,"alloxan (alx), a food-additive, intaken daily through flour causes diabetes and genotoxicity by inducing chromosomal-aberration and dna-damage."
hypertension,sussages,can worsen,sussages with serving size 100.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,sugar/desserts,can worsen,sugar/desserts with serving size 200.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
type 2 diabetes mellitus,zingiber officinale,safe,zingiber officinale is being used as diet-based therapy because of its wide therapeutic potential in type 2 diabetes mellitus (t2dm) and against diabetic complications by directly interacting with different molecular and cellular pathways that provoke the pathogenesis of t2dm.
pain,tea,safe,"dietary polyphenols and other bioactive compounds in berries, curcumin, and tea have shown effects in ameliorating pain and inflammation in oa, but few clinical studies have been reported."
hyperuricaemia,sucrose,dangerous,"in addition to sucrose and high fructose corn syrup, fresh fruits also contain fructose, suggesting that patients with hyperuricaemia or gout might also avoid fresh fruit."
prediabetes,potato,can worsen,potato with serving size 369.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,crackers,can worsen,crackers with serving size 30.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
cardiovascular disease,milk,dangerous,"milk and dairy products containing milk fat are major food sources of saturated fatty acids, which have been linked to increased risk of cardiovascular-related clinical outcomes such as cardiovascular disease (cvd), coronary heart disease (chd), and stroke."
hypertension,coffee/soda drink/iced tea,dangerous,coffee/soda drink/iced tea is high in fat/sugar and may worsen hypertension.
prediabetes,cream,dangerous,cream is high in fat/sugar and may worsen prediabetes.
prediabetes,raw vegetables,can worsen,raw vegetables with serving size 120.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
alzheimer's disease,ginger,safe,ginger has been reportedly used for the management or treatment of alzheimer's disease in folklore medicine.
metabolic syndrome,tropical fruits,safe,"tropical foods such as seaweeds and tropical fruits including indigenous fruits such as davidson's plums are effective in reducing these signs of metabolic syndrome in rats, as well as reducing degeneration of bone cartilage and altering gut microbiome."
cognitive decline,tofu,safe,"cell culture studies suggest that phytoestrogens, abundant in soy products such as tempe and tofu, could protect against cognitive decline."
inflammation,fruit,safe,fruit and vegetables are still not being eaten in adequate amounts and yet contain micronutrients and phytochemicals useful for bone remodelling (bone formation and resorption) and are essential for reducing inflammation and oxidative stress.
ailments,oil tea,safe,oil tea has traditionally been used in minority populations in china for treating various ailments in traditional chinese medicine.
non-communicable diseases,ultra-processed foods,dangerous,"there is a causal link between the consumption of ultra-processed foods and a range of non-communicable diseases (ncds) such as obesity, type 2 diabetes and cancers."
neural tube defects,wheat flour,safe,"the mandatory fortification of enriched cereal grains (e.g., wheat flour) with folic acid, which began in the united states in 1998, is an example of a successful intervention that significantly reduced the rate of neural tube defects (ntds)."
prediabetes,nuts,safe,nuts may support balanced diet for prediabetes.
baker's asthma,wheat flour,dangerous,sensitization to wheat flour plays an important role in the development and diagnosis of baker's asthma.
cartilage destruction,broccoli,safe,"we have previously demonstrated that sulforaphane, a dietary isothiocyanate derived from its glucosinolate precursor which is found in broccoli, can prevent cartilage destruction in cells, in in vitro and in vivo models of osteoarthritis."
prediabetes,frozen meal (containing meat and vegetables),safe,frozen meal (containing meat and vegetables) is nutritious and may help manage prediabetes.
hypertension,grapefruit/lemon/orange,safe,grapefruit/lemon/orange is nutritious and may help manage hypertension.
ailments,garlic,safe,"garlic (allium sativum) is a popular spice, a remedy for a variety of ailments and is also known for its medicinal uses as an antibiotic, antithrombotic and antineoplastic agent."
hypertension,beans,can worsen,beans with serving size 28.4g recorded in nhanes dietary data for hypertension and prediabetes patients.
human diseases,ginger,safe,"natural products, such as ginger, curcumin, and gingko biloba have been used as diets and dietary supplements to treat human diseases, including cancer, cardiovascular, respiratory, infectious, diabetes, obesity, metabolic syndromes, and neurological disorders."
chronic diseases,beans,safe,beans can contribute to a food-first approach to healthy aging as they are nutrient-dense and can reduce the risk of chronic diseases.
chronic diseases,fruit,safe,"higher consumption of fruit and vegetables has been associated with a lower risk of various chronic diseases including coronary heart disease, obesity, and certain cancers."
infections,breast milk,safe,breast milk is not only a completely adapted nutrition source for the newborn but also an impressive array of immune-active molecules that afford protection against infections and shape mucosal immune responses.
bronchitis,eucalyptus oil,safe,"eucalyptol (1,8-cineole), the major constituent of eucalyptus oil (eo), was used in traditional medicine as a remedy for colds and bronchitis."
prediabetes,ice cream,dangerous,ice cream is high in fat/sugar and may worsen prediabetes.
"cardiovascular, neurodegenerative",docosahexaenoic acid,safe,"omega-3 fatty acids (ãâãâãâãâ-3fas) such as docosahexaenoic acid (dha) and eicosapentanoic acid (epa), are active ingredient of fish oil, which have larger health benefits against various diseases including cardiovascular, neurodegenerative, cancers and bone diseases."
bronchiolitis obliterans,diacetyl-containing butter flavor,dangerous,diacetyl-containing butter flavor was identified as the cause of an outbreak of bronchiolitis obliterans (bo) and other lung diseases in popcorn-plant workers.
noncommunicable chronic diseases,ultra-processed foods,dangerous,processed and ultra-processed foods (upf) consumption has been associated with development of noncommunicable chronic diseases (ncd).
hypertension,seeds,can worsen,seeds with serving size 30.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
