medicine,food,interaction,warning,explanation
iron supplements,tofu,safe,no major risk,Tofu with iron supplements generally poses no significant problem when consumed in moderation.
tacrolimus,peda,safe,no major risk,Peda with tacrolimus generally poses no significant problem when consumed in moderation.
tranylcypromine,mutton curry,safe,no major risk,Mutton curry with tranylcypromine generally poses no significant problem when consumed in moderation.
tranylcypromine,green tea,safe,no major risk,Green tea with tranylcypromine generally poses no significant problem when consumed in moderation.
paracetamol,turmeric latte,safe,no major risk,Turmeric latte with paracetamol generally poses no significant problem when consumed in moderation.
tetracycline,ice cream,risky,reduced absorption,Minerals in dairy can bind tetracycline and reduce absorption; separate dosing.
fluconazole,peda,safe,no major risk,Peda with fluconazole generally poses no significant problem when consumed in moderation.
iron supplements,white rice,safe,no major risk,White rice with iron supplements generally poses no significant problem when consumed in moderation.
simvastatin,ramen,safe,no major risk,Ramen with simvastatin generally poses no significant problem when consumed in moderation.
esomeprazole,yogurt,safe,no major risk,Yogurt with esomeprazole generally poses no significant problem when consumed in moderation.
valproate,spinach,safe,no major risk,Spinach with valproate generally poses no significant problem when consumed in moderation.
tacrolimus,avocado,safe,no major risk,Avocado with tacrolimus generally poses no significant problem when consumed in moderation.
nitrofurantoin,french fries,safe,no major risk,French fries with nitrofurantoin generally poses no significant problem when consumed in moderation.
losartan,sambar,safe,no major risk,Sambar with losartan generally poses no significant problem when consumed in moderation.
esomeprazole,halwa,safe,no major risk,Halwa with esomeprazole generally poses no significant problem when consumed in moderation.
venlafaxine,milk,safe,no major risk,Milk with venlafaxine generally poses no significant problem when consumed in moderation.
amoxicillin,tempeh,safe,no major risk,Tempeh with amoxicillin generally poses no significant problem when consumed in moderation.
telmisartan,kathi roll,safe,no major risk,Kathi roll with telmisartan generally poses no significant problem when consumed in moderation.
rosuvastatin,gulab jamun,safe,no major risk,Gulab jamun with rosuvastatin generally poses no significant problem when consumed in moderation.
dabigatran,kheer,safe,no major risk,Kheer with dabigatran generally poses no significant problem when consumed in moderation.
iron supplements,veg biryani,safe,no major risk,Veg biryani with iron supplements generally poses no significant problem when consumed in moderation.
itraconazole,papaya,safe,no major risk,Papaya with itraconazole generally poses no significant problem when consumed in moderation.
glimepiride,broccoli,safe,no major risk,Broccoli with glimepiride generally poses no significant problem when consumed in moderation.
doxycycline,bhujia,safe,no major risk,Bhujia with doxycycline generally poses no significant problem when consumed in moderation.
itraconazole,kathi roll,safe,no major risk,Kathi roll with itraconazole generally poses no significant problem when consumed in moderation.
clarithromycin,pulao,safe,no major risk,Pulao with clarithromycin generally poses no significant problem when consumed in moderation.
valproate,chole,safe,no major risk,Chole with valproate generally poses no significant problem when consumed in moderation.
lisinopril,leafy greens salad,safe,no major risk,Leafy greens salad with lisinopril generally poses no significant problem when consumed in moderation.
metformin,mysore pak,risky,raises blood sugar,High-sugar foods like mysore pak can worsen glucose control while on metformin.
fluoxetine,ginger,safe,no major risk,Ginger with fluoxetine generally poses no significant problem when consumed in moderation.
ibuprofen,sweet potato,safe,no major risk,Sweet potato with ibuprofen generally poses no significant problem when consumed in moderation.
esomeprazole,alcohol,safe,no major risk,Alcohol with esomeprazole generally poses no significant problem when consumed in moderation.
atorvastatin,ice cream,safe,no major risk,Ice cream with atorvastatin generally poses no significant problem when consumed in moderation.
esomeprazole,bitter gourd,safe,no major risk,Bitter gourd with esomeprazole generally poses no significant problem when consumed in moderation.
tacrolimus,naan,safe,no major risk,Naan with tacrolimus generally poses no significant problem when consumed in moderation.
isocarboxazid,bhujia,safe,no major risk,Bhujia with isocarboxazid generally poses no significant problem when consumed in moderation.
tetracycline,yogurt,risky,reduced absorption,Minerals in dairy can bind tetracycline and reduce absorption; separate dosing.
fenofibrate,papaya,safe,no major risk,Papaya with fenofibrate generally poses no significant problem when consumed in moderation.
azithromycin,leafy greens salad,safe,no major risk,Leafy greens salad with azithromycin generally poses no significant problem when consumed in moderation.
dabigatran,spinach,safe,no major risk,Spinach with dabigatran generally poses no significant problem when consumed in moderation.
simvastatin,garlic,safe,no major risk,Garlic with simvastatin generally poses no significant problem when consumed in moderation.
lisinopril,idli,safe,no major risk,Idli with lisinopril generally poses no significant problem when consumed in moderation.
iron supplements,french fries,safe,no major risk,French fries with iron supplements generally poses no significant problem when consumed in moderation.
ramipril,pakora,safe,no major risk,Pakora with ramipril generally poses no significant problem when consumed in moderation.
isocarboxazid,kimchi,dangerous,hypertensive crisis,Tyramine in kimchi may trigger severe hypertension with MAOIs.
cyclosporine,white rice,safe,no major risk,White rice with cyclosporine generally poses no significant problem when consumed in moderation.
gliclazide,samosa,safe,no major risk,Samosa with gliclazide generally poses no significant problem when consumed in moderation.
naproxen,coffee,risky,stomach irritation,Coffee with naproxen may increase gastric irritation or bleeding risk.
esomeprazole,laddu,safe,no major risk,Laddu with esomeprazole generally poses no significant problem when consumed in moderation.
amlodipine,dates,safe,no major risk,Dates with amlodipine generally poses no significant problem when consumed in moderation.
pantoprazole,ghee,safe,no major risk,Ghee with pantoprazole generally poses no significant problem when consumed in moderation.
warfarin,spinach,risky,reduces effectiveness,Spinach is rich in vitamin K which counteracts warfarin's effect.
fluoxetine,dosa,safe,no major risk,Dosa with fluoxetine generally poses no significant problem when consumed in moderation.
amoxicillin,banana,safe,no major risk,Banana with amoxicillin generally poses no significant problem when consumed in moderation.
sitagliptin,beer,safe,no major risk,Beer with sitagliptin generally poses no significant problem when consumed in moderation.
citalopram,paratha,safe,no major risk,Paratha with citalopram generally poses no significant problem when consumed in moderation.
clarithromycin,grapefruit juice,safe,no major risk,Grapefruit juice with clarithromycin generally poses no significant problem when consumed in moderation.
fenofibrate,momos,safe,no major risk,Momos with fenofibrate generally poses no significant problem when consumed in moderation.
ramipril,spinach soup,safe,no major risk,Spinach soup with ramipril generally poses no significant problem when consumed in moderation.
enoxaparin,peda,safe,no major risk,Peda with enoxaparin generally poses no significant problem when consumed in moderation.
fexofenadine,dosa,safe,no major risk,Dosa with fexofenadine generally poses no significant problem when consumed in moderation.
simvastatin,dal makhani,safe,no major risk,Dal makhani with simvastatin generally poses no significant problem when consumed in moderation.
clopidogrel,soy sauce,safe,no major risk,Soy sauce with clopidogrel generally poses no significant problem when consumed in moderation.
levetiracetam,french fries,safe,no major risk,French fries with levetiracetam generally poses no significant problem when consumed in moderation.
ramipril,pomegranate juice,safe,no major risk,Pomegranate juice with ramipril generally poses no significant problem when consumed in moderation.
ramipril,kheer,safe,no major risk,Kheer with ramipril generally poses no significant problem when consumed in moderation.
pravastatin,st johns wort,safe,no major risk,St johns wort with pravastatin generally poses no significant problem when consumed in moderation.
tacrolimus,pulao,safe,no major risk,Pulao with tacrolimus generally poses no significant problem when consumed in moderation.
lisinopril,multigrain roti,safe,no major risk,Multigrain roti with lisinopril generally poses no significant problem when consumed in moderation.
omeprazole,halwa,safe,no major risk,Halwa with omeprazole generally poses no significant problem when consumed in moderation.
losartan,banana,risky,raises potassium,Banana is potassium-rich; ARBs can raise serum potassium.
fenofibrate,pickles,safe,no major risk,Pickles with fenofibrate generally poses no significant problem when consumed in moderation.
ketoconazole,kale,safe,no major risk,Kale with ketoconazole generally poses no significant problem when consumed in moderation.
loratadine,aged cheese,safe,no major risk,Aged cheese with loratadine generally poses no significant problem when consumed in moderation.
diclofenac,french fries,risky,stomach irritation,French fries with diclofenac may increase gastric irritation or bleeding risk.
heparin,energy drink,safe,no major risk,Energy drink with heparin generally poses no significant problem when consumed in moderation.
diphenhydramine,naan,safe,no major risk,Naan with diphenhydramine generally poses no significant problem when consumed in moderation.
calcium supplements,coffee,safe,no major risk,Coffee with calcium supplements generally poses no significant problem when consumed in moderation.
nitrofurantoin,ice cream,safe,no major risk,Ice cream with nitrofurantoin generally poses no significant problem when consumed in moderation.
amitriptyline,dark chocolate,safe,no major risk,Dark chocolate with amitriptyline generally poses no significant problem when consumed in moderation.
digoxin,apple juice,safe,no major risk,Apple juice with digoxin generally poses no significant problem when consumed in moderation.
omeprazole,dried apricots,safe,no major risk,Dried apricots with omeprazole generally poses no significant problem when consumed in moderation.
digoxin,potato,safe,no major risk,Potato with digoxin generally poses no significant problem when consumed in moderation.
glimepiride,chole,safe,no major risk,Chole with glimepiride generally poses no significant problem when consumed in moderation.
losartan,sev,safe,no major risk,Sev with losartan generally poses no significant problem when consumed in moderation.
fexofenadine,kathi roll,safe,no major risk,Kathi roll with fexofenadine generally poses no significant problem when consumed in moderation.
theophylline,kimchi,safe,no major risk,Kimchi with theophylline generally poses no significant problem when consumed in moderation.
ramipril,rajma,safe,no major risk,Rajma with ramipril generally poses no significant problem when consumed in moderation.
venlafaxine,ghee,safe,no major risk,Ghee with venlafaxine generally poses no significant problem when consumed in moderation.
iron supplements,garlic,safe,no major risk,Garlic with iron supplements generally poses no significant problem when consumed in moderation.
ranitidine,banana,safe,no major risk,Banana with ranitidine generally poses no significant problem when consumed in moderation.
pravastatin,dark chocolate,safe,no major risk,Dark chocolate with pravastatin generally poses no significant problem when consumed in moderation.
clarithromycin,dried apricots,safe,no major risk,Dried apricots with clarithromycin generally poses no significant problem when consumed in moderation.
ketoconazole,ghee,safe,no major risk,Ghee with ketoconazole generally poses no significant problem when consumed in moderation.
omeprazole,maggi noodles,safe,no major risk,Maggi noodles with omeprazole generally poses no significant problem when consumed in moderation.
amoxicillin,cranberry,safe,no major risk,Cranberry with amoxicillin generally poses no significant problem when consumed in moderation.
loratadine,ginger,safe,no major risk,Ginger with loratadine generally poses no significant problem when consumed in moderation.
doxycycline,grapes,safe,no major risk,Grapes with doxycycline generally poses no significant problem when consumed in moderation.
lithium,dosa,safe,no major risk,Dosa with lithium generally poses no significant problem when consumed in moderation.
pioglitazone,paneer,safe,no major risk,Paneer with pioglitazone generally poses no significant problem when consumed in moderation.
ibuprofen,multigrain roti,safe,no major risk,Multigrain roti with ibuprofen generally poses no significant problem when consumed in moderation.
ciprofloxacin,oats,safe,no major risk,Oats with ciprofloxacin generally poses no significant problem when consumed in moderation.
atenolol,edamame,safe,no major risk,Edamame with atenolol generally poses no significant problem when consumed in moderation.
enoxaparin,rasgulla,safe,no major risk,Rasgulla with enoxaparin generally poses no significant problem when consumed in moderation.
ibuprofen,pulao,safe,no major risk,Pulao with ibuprofen generally poses no significant problem when consumed in moderation.
fluconazole,pulao,safe,no major risk,Pulao with fluconazole generally poses no significant problem when consumed in moderation.
metronidazole,brown rice,safe,no major risk,Brown rice with metronidazole generally poses no significant problem when consumed in moderation.
aspirin,tonic water,safe,no major risk,Tonic water with aspirin generally poses no significant problem when consumed in moderation.
telmisartan,coconut water,risky,raises potassium,ARBs with potassium-rich drinks can raise serum potassium; monitor.
tetracycline,paneer,risky,reduced absorption,Minerals in dairy can bind tetracycline and reduce absorption; separate dosing.
fenofibrate,carrot,safe,no major risk,Carrot with fenofibrate generally poses no significant problem when consumed in moderation.
omeprazole,tempeh,safe,no major risk,Tempeh with omeprazole generally poses no significant problem when consumed in moderation.
amoxicillin,apple juice,safe,no major risk,Apple juice with amoxicillin generally poses no significant problem when consumed in moderation.
ciprofloxacin,licorice,safe,no major risk,Licorice with ciprofloxacin generally poses no significant problem when consumed in moderation.
carbamazepine,bhujia,safe,no major risk,Bhujia with carbamazepine generally poses no significant problem when consumed in moderation.
apixaban,orange juice,safe,no major risk,Orange juice with apixaban generally poses no significant problem when consumed in moderation.
ramipril,st johns wort,safe,no major risk,St johns wort with ramipril generally poses no significant problem when consumed in moderation.
glimepiride,soy sauce,safe,no major risk,Soy sauce with glimepiride generally poses no significant problem when consumed in moderation.
amlodipine,kheer,safe,no major risk,Kheer with amlodipine generally poses no significant problem when consumed in moderation.
ciprofloxacin,banana,safe,no major risk,Banana with ciprofloxacin generally poses no significant problem when consumed in moderation.
doxycycline,rasmalai,safe,no major risk,Rasmalai with doxycycline generally poses no significant problem when consumed in moderation.
glimepiride,mango,safe,no major risk,Mango with glimepiride generally poses no significant problem when consumed in moderation.
rivaroxaban,garlic,safe,no major risk,Garlic with rivaroxaban generally poses no significant problem when consumed in moderation.
simvastatin,black tea,safe,no major risk,Black tea with simvastatin generally poses no significant problem when consumed in moderation.
telmisartan,aged cheese,safe,no major risk,Aged cheese with telmisartan generally poses no significant problem when consumed in moderation.
ciprofloxacin,ginger,safe,no major risk,Ginger with ciprofloxacin generally poses no significant problem when consumed in moderation.
sitagliptin,kachori,safe,no major risk,Kachori with sitagliptin generally poses no significant problem when consumed in moderation.
warfarin,kathi roll,safe,no major risk,Kathi roll with warfarin generally poses no significant problem when consumed in moderation.
loratadine,tomato,safe,no major risk,Tomato with loratadine generally poses no significant problem when consumed in moderation.
diphenhydramine,edamame,safe,no major risk,Edamame with diphenhydramine generally poses no significant problem when consumed in moderation.
fluoxetine,biryani,safe,no major risk,Biryani with fluoxetine generally poses no significant problem when consumed in moderation.
magnesium supplements,grapefruit juice,safe,no major risk,Grapefruit juice with magnesium supplements generally poses no significant problem when consumed in moderation.
digoxin,chips,safe,no major risk,Chips with digoxin generally poses no significant problem when consumed in moderation.
levothyroxine,veg biryani,safe,no major risk,Veg biryani with levothyroxine generally poses no significant problem when consumed in moderation.
amlodipine,maggi noodles,safe,no major risk,Maggi noodles with amlodipine generally poses no significant problem when consumed in moderation.
atenolol,kimchi,safe,no major risk,Kimchi with atenolol generally poses no significant problem when consumed in moderation.
doxycycline,beetroot,safe,no major risk,Beetroot with doxycycline generally poses no significant problem when consumed in moderation.
pravastatin,pulao,safe,no major risk,Pulao with pravastatin generally poses no significant problem when consumed in moderation.
ibuprofen,alcohol,risky,stomach irritation,Alcohol with ibuprofen may increase gastric irritation or bleeding risk.
rosuvastatin,maggi noodles,safe,no major risk,Maggi noodles with rosuvastatin generally poses no significant problem when consumed in moderation.
valproate,naan,safe,no major risk,Naan with valproate generally poses no significant problem when consumed in moderation.
ketoconazole,paratha,safe,no major risk,Paratha with ketoconazole generally poses no significant problem when consumed in moderation.
diphenhydramine,spinach soup,safe,no major risk,Spinach soup with diphenhydramine generally poses no significant problem when consumed in moderation.
lithium,paratha,safe,no major risk,Paratha with lithium generally poses no significant problem when consumed in moderation.
naproxen,butter chicken,safe,no major risk,Butter chicken with naproxen generally poses no significant problem when consumed in moderation.
iron supplements,dates,safe,no major risk,Dates with iron supplements generally poses no significant problem when consumed in moderation.
ibuprofen,red wine,risky,stomach irritation,Red wine with ibuprofen may increase gastric irritation or bleeding risk.
itraconazole,white rice,safe,no major risk,White rice with itraconazole generally poses no significant problem when consumed in moderation.
simvastatin,momos,safe,no major risk,Momos with simvastatin generally poses no significant problem when consumed in moderation.
itraconazole,carrot,safe,no major risk,Carrot with itraconazole generally poses no significant problem when consumed in moderation.
doxycycline,palak paneer,safe,no major risk,Palak paneer with doxycycline generally poses no significant problem when consumed in moderation.
citalopram,turmeric latte,safe,no major risk,Turmeric latte with citalopram generally poses no significant problem when consumed in moderation.
ramipril,banana,risky,raises potassium,ACE inhibitors plus high-potassium foods may increase hyperkalemia risk.
simvastatin,dried apricots,safe,no major risk,Dried apricots with simvastatin generally poses no significant problem when consumed in moderation.
phenytoin,milk,safe,no major risk,Milk with phenytoin generally poses no significant problem when consumed in moderation.
tranylcypromine,banana,safe,no major risk,Banana with tranylcypromine generally poses no significant problem when consumed in moderation.
valproate,dried apricots,safe,no major risk,Dried apricots with valproate generally poses no significant problem when consumed in moderation.
insulin,dark chocolate,safe,no major risk,Dark chocolate with insulin generally poses no significant problem when consumed in moderation.
paracetamol,yogurt,safe,no major risk,Yogurt with paracetamol generally poses no significant problem when consumed in moderation.
phenelzine,kimchi,dangerous,hypertensive crisis,Tyramine in kimchi can cause severe hypertension with MAOIs like phenelzine.
metronidazole,sauerkraut,safe,no major risk,Sauerkraut with metronidazole generally poses no significant problem when consumed in moderation.
phenytoin,spinach,safe,no major risk,Spinach with phenytoin generally poses no significant problem when consumed in moderation.
losartan,soy sauce,safe,no major risk,Soy sauce with losartan generally poses no significant problem when consumed in moderation.
sitagliptin,milk,safe,no major risk,Milk with sitagliptin generally poses no significant problem when consumed in moderation.
ibuprofen,sambar,safe,no major risk,Sambar with ibuprofen generally poses no significant problem when consumed in moderation.
atorvastatin,naan,safe,no major risk,Naan with atorvastatin generally poses no significant problem when consumed in moderation.
atenolol,pasta,safe,no major risk,Pasta with atenolol generally poses no significant problem when consumed in moderation.
tetracycline,turmeric latte,safe,no major risk,Turmeric latte with tetracycline generally poses no significant problem when consumed in moderation.
valproate,palak paneer,safe,no major risk,Palak paneer with valproate generally poses no significant problem when consumed in moderation.
diclofenac,bhujia,safe,no major risk,Bhujia with diclofenac generally poses no significant problem when consumed in moderation.
isocarboxazid,amla,safe,no major risk,Amla with isocarboxazid generally poses no significant problem when consumed in moderation.
ibuprofen,beer,risky,stomach irritation,Beer with ibuprofen may increase gastric irritation or bleeding risk.
phenytoin,pickles,safe,no major risk,Pickles with phenytoin generally poses no significant problem when consumed in moderation.
ramipril,coconut water,risky,raises potassium,Coconut water is high in potassium; ACE inhibitors may increase hyperkalemia risk.
amoxicillin,tomato,safe,no major risk,Tomato with amoxicillin generally poses no significant problem when consumed in moderation.
metronidazole,turmeric latte,safe,no major risk,Turmeric latte with metronidazole generally poses no significant problem when consumed in moderation.
theophylline,carrot,safe,no major risk,Carrot with theophylline generally poses no significant problem when consumed in moderation.
theophylline,black tea,risky,additive stimulation,Caffeine plus theophylline may cause nervousness and palpitations.
bupropion,naan,safe,no major risk,Naan with bupropion generally poses no significant problem when consumed in moderation.
digoxin,kadhi,safe,no major risk,Kadhi with digoxin generally poses no significant problem when consumed in moderation.
azithromycin,quinoa,safe,no major risk,Quinoa with azithromycin generally poses no significant problem when consumed in moderation.
omeprazole,spinach soup,safe,no major risk,Spinach soup with omeprazole generally poses no significant problem when consumed in moderation.
apixaban,laddu,safe,no major risk,Laddu with apixaban generally poses no significant problem when consumed in moderation.
doxycycline,maggi noodles,safe,no major risk,Maggi noodles with doxycycline generally poses no significant problem when consumed in moderation.
azithromycin,butter chicken,safe,no major risk,Butter chicken with azithromycin generally poses no significant problem when consumed in moderation.
citalopram,papaya,safe,no major risk,Papaya with citalopram generally poses no significant problem when consumed in moderation.
ibuprofen,kachori,safe,no major risk,Kachori with ibuprofen generally poses no significant problem when consumed in moderation.
diphenhydramine,paratha,safe,no major risk,Paratha with diphenhydramine generally poses no significant problem when consumed in moderation.
amlodipine,laddu,safe,no major risk,Laddu with amlodipine generally poses no significant problem when consumed in moderation.
metronidazole,dal makhani,safe,no major risk,Dal makhani with metronidazole generally poses no significant problem when consumed in moderation.
sitagliptin,gulab jamun,safe,no major risk,Gulab jamun with sitagliptin generally poses no significant problem when consumed in moderation.
glimepiride,gulab jamun,safe,no major risk,Gulab jamun with glimepiride generally poses no significant problem when consumed in moderation.
fenofibrate,coconut water,safe,no major risk,Coconut water with fenofibrate generally poses no significant problem when consumed in moderation.
venlafaxine,grapes,safe,no major risk,Grapes with venlafaxine generally poses no significant problem when consumed in moderation.
fluoxetine,halwa,safe,no major risk,Halwa with fluoxetine generally poses no significant problem when consumed in moderation.
itraconazole,broccoli,safe,no major risk,Broccoli with itraconazole generally poses no significant problem when consumed in moderation.
ketoconazole,idli,safe,no major risk,Idli with ketoconazole generally poses no significant problem when consumed in moderation.
azithromycin,pakora,safe,no major risk,Pakora with azithromycin generally poses no significant problem when consumed in moderation.
sitagliptin,mysore pak,safe,no major risk,Mysore pak with sitagliptin generally poses no significant problem when consumed in moderation.
lisinopril,sweet potato,risky,raises potassium,Sweet potato is high in potassium; ACE inhibitors may increase hyperkalemia risk.
fenofibrate,paratha,safe,no major risk,Paratha with fenofibrate generally poses no significant problem when consumed in moderation.
lisinopril,coconut water,risky,raises potassium,Coconut water is high in potassium; ACE inhibitors may increase hyperkalemia risk.
paracetamol,rasgulla,safe,no major risk,Rasgulla with paracetamol generally poses no significant problem when consumed in moderation.
valproate,bread,safe,no major risk,Bread with valproate generally poses no significant problem when consumed in moderation.
apixaban,dosa,safe,no major risk,Dosa with apixaban generally poses no significant problem when consumed in moderation.
enoxaparin,kimchi,safe,no major risk,Kimchi with enoxaparin generally poses no significant problem when consumed in moderation.
amlodipine,rajma,safe,no major risk,Rajma with amlodipine generally poses no significant problem when consumed in moderation.
tacrolimus,rajma,safe,no major risk,Rajma with tacrolimus generally poses no significant problem when consumed in moderation.
bupropion,turmeric latte,safe,no major risk,Turmeric latte with bupropion generally poses no significant problem when consumed in moderation.
aspirin,halwa,safe,no major risk,Halwa with aspirin generally poses no significant problem when consumed in moderation.
loratadine,sambar,safe,no major risk,Sambar with loratadine generally poses no significant problem when consumed in moderation.
sertraline,carrot,safe,no major risk,Carrot with sertraline generally poses no significant problem when consumed in moderation.
simvastatin,grapes,safe,no major risk,Grapes with simvastatin generally poses no significant problem when consumed in moderation.
levothyroxine,st johns wort,safe,no major risk,St johns wort with levothyroxine generally poses no significant problem when consumed in moderation.
enoxaparin,fish curry,safe,no major risk,Fish curry with enoxaparin generally poses no significant problem when consumed in moderation.
clarithromycin,fish curry,safe,no major risk,Fish curry with clarithromycin generally poses no significant problem when consumed in moderation.
magnesium supplements,oats,safe,no major risk,Oats with magnesium supplements generally poses no significant problem when consumed in moderation.
fluoxetine,licorice,safe,no major risk,Licorice with fluoxetine generally poses no significant problem when consumed in moderation.
telmisartan,avocado,risky,raises potassium,Avocado is potassium-rich; ARBs can raise serum potassium.
diphenhydramine,paneer butter masala,safe,no major risk,Paneer butter masala with diphenhydramine generally poses no significant problem when consumed in moderation.
tranylcypromine,tempeh,dangerous,hypertensive crisis,Tyramine in tempeh can cause severe hypertension with MAOIs like tranylcypromine.
atorvastatin,kadhi,safe,no major risk,Kadhi with atorvastatin generally poses no significant problem when consumed in moderation.
phenytoin,whole wheat roti,safe,no major risk,Whole wheat roti with phenytoin generally poses no significant problem when consumed in moderation.
sertraline,garlic,safe,no major risk,Garlic with sertraline generally poses no significant problem when consumed in moderation.
iron supplements,ice cream,safe,no major risk,Ice cream with iron supplements generally poses no significant problem when consumed in moderation.
loratadine,kathi roll,safe,no major risk,Kathi roll with loratadine generally poses no significant problem when consumed in moderation.
ciprofloxacin,cheese,risky,reduced absorption,Minerals in dairy can bind ciprofloxacin and reduce absorption; separate dosing.
simvastatin,bitter gourd,safe,no major risk,Bitter gourd with simvastatin generally poses no significant problem when consumed in moderation.
naproxen,bread,safe,no major risk,Bread with naproxen generally poses no significant problem when consumed in moderation.
pantoprazole,pulao,safe,no major risk,Pulao with pantoprazole generally poses no significant problem when consumed in moderation.
pioglitazone,upma,safe,no major risk,Upma with pioglitazone generally poses no significant problem when consumed in moderation.
valproate,avocado,safe,no major risk,Avocado with valproate generally poses no significant problem when consumed in moderation.
fluoxetine,sambar,safe,no major risk,Sambar with fluoxetine generally poses no significant problem when consumed in moderation.
tetracycline,palak paneer,safe,no major risk,Palak paneer with tetracycline generally poses no significant problem when consumed in moderation.
calcium supplements,spinach,risky,reduced absorption,Oxalates in spinach can reduce calcium absorption.
amitriptyline,mango,safe,no major risk,Mango with amitriptyline generally poses no significant problem when consumed in moderation.
tacrolimus,aged cheese,safe,no major risk,Aged cheese with tacrolimus generally poses no significant problem when consumed in moderation.
atenolol,paneer,safe,no major risk,Paneer with atenolol generally poses no significant problem when consumed in moderation.
glimepiride,kale,safe,no major risk,Kale with glimepiride generally poses no significant problem when consumed in moderation.
telmisartan,pulao,safe,no major risk,Pulao with telmisartan generally poses no significant problem when consumed in moderation.
isocarboxazid,oats,safe,no major risk,Oats with isocarboxazid generally poses no significant problem when consumed in moderation.
lisinopril,pulao,safe,no major risk,Pulao with lisinopril generally poses no significant problem when consumed in moderation.
amoxicillin,gulab jamun,safe,no major risk,Gulab jamun with amoxicillin generally poses no significant problem when consumed in moderation.
fexofenadine,french fries,safe,no major risk,French fries with fexofenadine generally poses no significant problem when consumed in moderation.
esomeprazole,dried apricots,safe,no major risk,Dried apricots with esomeprazole generally poses no significant problem when consumed in moderation.
atenolol,rasmalai,safe,no major risk,Rasmalai with atenolol generally poses no significant problem when consumed in moderation.
telmisartan,buttermilk,safe,no major risk,Buttermilk with telmisartan generally poses no significant problem when consumed in moderation.
ranitidine,spring rolls,safe,no major risk,Spring rolls with ranitidine generally poses no significant problem when consumed in moderation.
calcium supplements,bhujia,safe,no major risk,Bhujia with calcium supplements generally poses no significant problem when consumed in moderation.
doxycycline,multigrain roti,safe,no major risk,Multigrain roti with doxycycline generally poses no significant problem when consumed in moderation.
azithromycin,ghee,safe,no major risk,Ghee with azithromycin generally poses no significant problem when consumed in moderation.
venlafaxine,apple juice,safe,no major risk,Apple juice with venlafaxine generally poses no significant problem when consumed in moderation.
doxycycline,brown rice,safe,no major risk,Brown rice with doxycycline generally poses no significant problem when consumed in moderation.
bupropion,amla,safe,no major risk,Amla with bupropion generally poses no significant problem when consumed in moderation.
naproxen,veg biryani,safe,no major risk,Veg biryani with naproxen generally poses no significant problem when consumed in moderation.
magnesium supplements,chole,safe,no major risk,Chole with magnesium supplements generally poses no significant problem when consumed in moderation.
citalopram,edamame,safe,no major risk,Edamame with citalopram generally poses no significant problem when consumed in moderation.
iron supplements,paratha,safe,no major risk,Paratha with iron supplements generally poses no significant problem when consumed in moderation.
itraconazole,soy sauce,safe,no major risk,Soy sauce with itraconazole generally poses no significant problem when consumed in moderation.
cetirizine,cranberry,safe,no major risk,Cranberry with cetirizine generally poses no significant problem when consumed in moderation.
clarithromycin,ramen,safe,no major risk,Ramen with clarithromycin generally poses no significant problem when consumed in moderation.
