food,safe_alternative,reason
ginger,roasted nut,roasted nut is considered healthier compared to ginger due to better nutrient profile.
papad,green tea,green tea is considered healthier compared to papad due to better nutrient profile.
curry leaves,grilled chicken,grilled chicken is considered healthier compared to curry leaves due to better nutrient profile.
dal,roasted nut,roasted nut is considered healthier compared to dal due to better nutrient profile.
curd,grilled chicken,grilled chicken is considered healthier compared to curd due to better nutrient profile.
turmeric,fruit salad,fruit salad is considered healthier compared to turmeric due to better nutrient profile.
rajma,fruit salad,fruit salad is considered healthier compared to rajma due to better nutrient profile.
ginger,fruit salad,fruit salad is considered healthier compared to ginger due to better nutrient profile.
methi,tofu,tofu is considered healthier compared to methi due to better nutrient profile.
onion,fruit salad,fruit salad is considered healthier compared to onion due to better nutrient profile.
biryani,lentil soup,lentil soup is considered healthier compared to biryani due to better nutrient profile.
green chili,green tea,green tea is considered healthier compared to green chili due to better nutrient profile.
guava,fruit salad,fruit salad is considered healthier compared to guava due to better nutrient profile.
brown rice,tofu,tofu is considered healthier compared to brown rice due to better nutrient profile.
spinach,lentil soup,lentil soup is considered healthier compared to spinach due to better nutrient profile.
guava,lentil soup,lentil soup is considered healthier compared to guava due to better nutrient profile.
chicken tikka,green tea,green tea is considered healthier compared to chicken tikka due to better nutrient profile.
rasgulla,tofu,tofu is considered healthier compared to rasgulla due to better nutrient profile.
papad,lentil soup,lentil soup is considered healthier compared to papad due to better nutrient profile.
pulao,steamed idli,steamed idli is considered healthier compared to pulao due to better nutrient profile.
ginger,lentil soup,lentil soup is considered healthier compared to ginger due to better nutrient profile.
kale,tofu,tofu is considered healthier compared to kale due to better nutrient profile.
laddu,fruit salad,fruit salad is considered healthier compared to laddu due to better nutrient profile.
rice,green tea,green tea is considered healthier compared to rice due to better nutrient profile.
dosa,green tea,green tea is considered healthier compared to dosa due to better nutrient profile.
kale,grilled chicken,grilled chicken is considered healthier compared to kale due to better nutrient profile.
white rice,green tea,green tea is considered healthier compared to white rice due to better nutrient profile.
pakora,grilled chicken,grilled chicken is considered healthier compared to pakora due to better nutrient profile.
turmeric,millet,millet is considered healthier compared to turmeric due to better nutrient profile.
rasgulla,fruit salad,fruit salad is considered healthier compared to rasgulla due to better nutrient profile.
ginger,grilled chicken,grilled chicken is considered healthier compared to ginger due to better nutrient profile.
chana,grilled chicken,grilled chicken is considered healthier compared to chana due to better nutrient profile.
curry leaves,roasted nut,roasted nut is considered healthier compared to curry leaves due to better nutrient profile.
tulsi tea,green tea,green tea is considered healthier compared to tulsi tea due to better nutrient profile.
rasgulla,green tea,green tea is considered healthier compared to rasgulla due to better nutrient profile.
garlic,roasted nut,roasted nut is considered healthier compared to garlic due to better nutrient profile.
chana,grilled chicken,grilled chicken is considered healthier compared to chana due to better nutrient profile.
laddu,roasted nut,roasted nut is considered healthier compared to laddu due to better nutrient profile.
masala chai,roasted nut,roasted nut is considered healthier compared to masala chai due to better nutrient profile.
ginger,fruit salad,fruit salad is considered healthier compared to ginger due to better nutrient profile.
ginger,steamed idli,steamed idli is considered healthier compared to ginger due to better nutrient profile.
mango,fruit salad,fruit salad is considered healthier compared to mango due to better nutrient profile.
dal,steamed idli,steamed idli is considered healthier compared to dal due to better nutrient profile.
kale,fruit salad,fruit salad is considered healthier compared to kale due to better nutrient profile.
alcohol,fruit salad,fruit salad is considered healthier compared to alcohol due to better nutrient profile.
tomato,tofu,tofu is considered healthier compared to tomato due to better nutrient profile.
laddu,millet,millet is considered healthier compared to laddu due to better nutrient profile.
butter chicken,steamed idli,steamed idli is considered healthier compared to butter chicken due to better nutrient profile.
paneer,green tea,green tea is considered healthier compared to paneer due to better nutrient profile.
papad,fruit salad,fruit salad is considered healthier compared to papad due to better nutrient profile.
garlic,lentil soup,lentil soup is considered healthier compared to garlic due to better nutrient profile.
curry leaves,roasted nut,roasted nut is considered healthier compared to curry leaves due to better nutrient profile.
spinach,green tea,green tea is considered healthier compared to spinach due to better nutrient profile.
white rice,roasted nut,roasted nut is considered healthier compared to white rice due to better nutrient profile.
alcohol,tofu,tofu is considered healthier compared to alcohol due to better nutrient profile.
milk,roasted nut,roasted nut is considered healthier compared to milk due to better nutrient profile.
curry leaves,green tea,green tea is considered healthier compared to curry leaves due to better nutrient profile.
chai,tofu,tofu is considered healthier compared to chai due to better nutrient profile.
alcohol,fruit salad,fruit salad is considered healthier compared to alcohol due to better nutrient profile.
samosa,roasted nut,roasted nut is considered healthier compared to samosa due to better nutrient profile.
butter chicken,green tea,green tea is considered healthier compared to butter chicken due to better nutrient profile.
guava,roasted nut,roasted nut is considered healthier compared to guava due to better nutrient profile.
prawn,grilled chicken,grilled chicken is considered healthier compared to prawn due to better nutrient profile.
green chili,tofu,tofu is considered healthier compared to green chili due to better nutrient profile.
curry leaves,fruit salad,fruit salad is considered healthier compared to curry leaves due to better nutrient profile.
brown rice,green tea,green tea is considered healthier compared to brown rice due to better nutrient profile.
dosa,steamed idli,steamed idli is considered healthier compared to dosa due to better nutrient profile.
tulsi tea,green tea,green tea is considered healthier compared to tulsi tea due to better nutrient profile.
turmeric,tofu,tofu is considered healthier compared to turmeric due to better nutrient profile.
fish curry,fruit salad,fruit salad is considered healthier compared to fish curry due to better nutrient profile.
samosa,lentil soup,lentil soup is considered healthier compared to samosa due to better nutrient profile.
dosa,millet,millet is considered healthier compared to dosa due to better nutrient profile.
jalebi,grilled chicken,grilled chicken is considered healthier compared to jalebi due to better nutrient profile.
curd,lentil soup,lentil soup is considered healthier compared to curd due to better nutrient profile.
pakora,steamed idli,steamed idli is considered healthier compared to pakora due to better nutrient profile.
prawn,tofu,tofu is considered healthier compared to prawn due to better nutrient profile.
pakora,grilled chicken,grilled chicken is considered healthier compared to pakora due to better nutrient profile.
samosa,tofu,tofu is considered healthier compared to samosa due to better nutrient profile.
methi,roasted nut,roasted nut is considered healthier compared to methi due to better nutrient profile.
samosa,roasted nut,roasted nut is considered healthier compared to samosa due to better nutrient profile.
garlic,tofu,tofu is considered healthier compared to garlic due to better nutrient profile.
masala chai,grilled chicken,grilled chicken is considered healthier compared to masala chai due to better nutrient profile.
pulao,lentil soup,lentil soup is considered healthier compared to pulao due to better nutrient profile.
chicken tikka,lentil soup,lentil soup is considered healthier compared to chicken tikka due to better nutrient profile.
methi,steamed idli,steamed idli is considered healthier compared to methi due to better nutrient profile.
tomato,roasted nut,roasted nut is considered healthier compared to tomato due to better nutrient profile.
butter,millet,millet is considered healthier compared to butter due to better nutrient profile.
white rice,grilled chicken,grilled chicken is considered healthier compared to white rice due to better nutrient profile.
ghee,steamed idli,steamed idli is considered healthier compared to ghee due to better nutrient profile.
