condition,food,warning,explanation
thyroid disorder,idli,high salt content,eating idli can high salt content in people with thyroid disorder.
thyroid disorder,pickle,may worsen symptoms,eating pickle can may worsen symptoms in people with thyroid disorder.
thyroid disorder,coconut water,reduces medicine effectiveness,eating coconut water can reduces medicine effectiveness in people with thyroid disorder.
pcos,onion,increases blood pressure,eating onion can increases blood pressure in people with pcos.
pcos,dal,raises blood glucose,eating dal can raises blood glucose in people with pcos.
pcos,jackfruit,raises blood glucose,eating jackfruit can raises blood glucose in people with pcos.
pcos,masala chai,triggers allergy,eating masala chai can triggers allergy in people with pcos.
pcos,fish curry,causes bloating,eating fish curry can causes bloating in people with pcos.
pcos,jalebi,increases blood pressure,eating jalebi can increases blood pressure in people with pcos.
pcos,pulao,increases blood pressure,eating pulao can increases blood pressure in people with pcos.
pcos,white rice,high salt content,eating white rice can high salt content in people with pcos.
pcos,pakora,reduces medicine effectiveness,eating pakora can reduces medicine effectiveness in people with pcos.
pcos,banana,raises blood glucose,eating banana can raises blood glucose in people with pcos.
pregnancy,masala chai,raises uric acid,eating masala chai can raises uric acid in people with pregnancy.
pregnancy,kale,high salt content,eating kale can high salt content in people with pregnancy.
pregnancy,jackfruit,raises uric acid,eating jackfruit can raises uric acid in people with pregnancy.
pregnancy,ghee,may worsen symptoms,eating ghee can may worsen symptoms in people with pregnancy.
pregnancy,laddu,raises uric acid,eating laddu can raises uric acid in people with pregnancy.
pregnancy,tomato,raises uric acid,eating tomato can raises uric acid in people with pregnancy.
pregnancy,green chili,may worsen symptoms,eating green chili can may worsen symptoms in people with pregnancy.
pregnancy,banana,causes bloating,eating banana can causes bloating in people with pregnancy.
pregnancy,butter chicken,triggers allergy,eating butter chicken can triggers allergy in people with pregnancy.
pregnancy,biryani,triggers allergy,eating biryani can triggers allergy in people with pregnancy.
liver disease,brown rice,may worsen symptoms,eating brown rice can may worsen symptoms in people with liver disease.
liver disease,milk,may worsen symptoms,eating milk can may worsen symptoms in people with liver disease.
liver disease,garlic,may worsen symptoms,eating garlic can may worsen symptoms in people with liver disease.
liver disease,white rice,raises blood glucose,eating white rice can raises blood glucose in people with liver disease.
liver disease,coconut water,reduces medicine effectiveness,eating coconut water can reduces medicine effectiveness in people with liver disease.
liver disease,dal,increases blood pressure,eating dal can increases blood pressure in people with liver disease.
liver disease,guava,high salt content,eating guava can high salt content in people with liver disease.
liver disease,methi,raises uric acid,eating methi can raises uric acid in people with liver disease.
liver disease,ginger,causes bloating,eating ginger can causes bloating in people with liver disease.
liver disease,papad,causes bloating,eating papad can causes bloating in people with liver disease.
obesity,jackfruit,causes bloating,eating jackfruit can causes bloating in people with obesity.
obesity,pickle,raises uric acid,eating pickle can raises uric acid in people with obesity.
obesity,chicken tikka,high salt content,eating chicken tikka can high salt content in people with obesity.
obesity,paneer,high salt content,eating paneer can high salt content in people with obesity.
obesity,prawn,raises blood glucose,eating prawn can raises blood glucose in people with obesity.
obesity,coconut water,raises blood glucose,eating coconut water can raises blood glucose in people with obesity.
obesity,milk,may worsen symptoms,eating milk can may worsen symptoms in people with obesity.
obesity,alcohol,reduces medicine effectiveness,eating alcohol can reduces medicine effectiveness in people with obesity.
obesity,papad,reduces medicine effectiveness,eating papad can reduces medicine effectiveness in people with obesity.
obesity,ghee,causes bloating,eating ghee can causes bloating in people with obesity.
gerd,pickle,reduces medicine effectiveness,eating pickle can reduces medicine effectiveness in people with gerd.
gerd,butter chicken,high salt content,eating butter chicken can high salt content in people with gerd.
gerd,mango,increases blood pressure,eating mango can increases blood pressure in people with gerd.
gerd,pakora,triggers allergy,eating pakora can triggers allergy in people with gerd.
gerd,prawn,causes bloating,eating prawn can causes bloating in people with gerd.
gerd,tomato,triggers allergy,eating tomato can triggers allergy in people with gerd.
gerd,methi,reduces medicine effectiveness,eating methi can reduces medicine effectiveness in people with gerd.
gerd,dal,high salt content,eating dal can high salt content in people with gerd.
gerd,garlic,high salt content,eating garlic can high salt content in people with gerd.
gerd,samosa,triggers allergy,eating samosa can triggers allergy in people with gerd.
asthma,spinach,raises uric acid,eating spinach can raises uric acid in people with asthma.
asthma,fish curry,triggers allergy,eating fish curry can triggers allergy in people with asthma.
asthma,pulao,reduces medicine effectiveness,eating pulao can reduces medicine effectiveness in people with asthma.
asthma,green chili,triggers allergy,eating green chili can triggers allergy in people with asthma.
asthma,brown rice,raises blood glucose,eating brown rice can raises blood glucose in people with asthma.
asthma,butter,high salt content,eating butter can high salt content in people with asthma.
asthma,jalebi,high salt content,eating jalebi can high salt content in people with asthma.
asthma,chai,raises uric acid,eating chai can raises uric acid in people with asthma.
asthma,coconut water,high salt content,eating coconut water can high salt content in people with asthma.
asthma,ginger,triggers allergy,eating ginger can triggers allergy in people with asthma.
migraine,brown rice,reduces medicine effectiveness,eating brown rice can reduces medicine effectiveness in people with migraine.
migraine,green chili,triggers allergy,eating green chili can triggers allergy in people with migraine.
migraine,jackfruit,increases blood pressure,eating jackfruit can increases blood pressure in people with migraine.
migraine,masala chai,raises blood glucose,eating masala chai can raises blood glucose in people with migraine.
migraine,curry leaves,may worsen symptoms,eating curry leaves can may worsen symptoms in people with migraine.
migraine,pickle,high salt content,eating pickle can high salt content in people with migraine.
migraine,onion,causes bloating,eating onion can causes bloating in people with migraine.
migraine,pakora,high salt content,eating pakora can high salt content in people with migraine.
migraine,chicken tikka,raises uric acid,eating chicken tikka can raises uric acid in people with migraine.
migraine,rice,may worsen symptoms,eating rice can may worsen symptoms in people with migraine.
celiac disease,butter chicken,causes bloating,eating butter chicken can causes bloating in people with celiac disease.
celiac disease,rice,raises uric acid,eating rice can raises uric acid in people with celiac disease.
celiac disease,prawn,raises blood glucose,eating prawn can raises blood glucose in people with celiac disease.
celiac disease,dal,increases blood pressure,eating dal can increases blood pressure in people with celiac disease.
celiac disease,jalebi,increases blood pressure,eating jalebi can increases blood pressure in people with celiac disease.
celiac disease,milk,reduces medicine effectiveness,eating milk can reduces medicine effectiveness in people with celiac disease.
celiac disease,kale,raises uric acid,eating kale can raises uric acid in people with celiac disease.
celiac disease,guava,high salt content,eating guava can high salt content in people with celiac disease.
celiac disease,jackfruit,causes bloating,eating jackfruit can causes bloating in people with celiac disease.
celiac disease,turmeric,increases blood pressure,eating turmeric can increases blood pressure in people with celiac disease.
